CIS	CISLabel	BN	BNlabel	NIMED	UCD13	CISLabel_processed
CIS68852682	ASPEGIC INJECTABLE 500 mg/5 ml, poudre et solution pour usage parentéral	http://www.romedi.fr/romedi/BNf49lagqvnbmg7qhhoikavc8o72ltddkk	ASPEGIC INJECTABLE	10976	3400890072397	aspegic injectable 500 mg/5 ml, poudre et solution pour usage parenteral
CIS68852682	ASPEGIC INJECTABLE 500 mg/5 ml, poudre et solution pour usage parentéral	http://www.romedi.fr/romedi/BNf49lagqvnbmg7qhhoikavc8o72ltddkk	ASPEGIC INJECTABLE	4821	3400890072519	aspegic injectable 500 mg/5 ml, poudre et solution pour usage parenteral
CIS68799614	ASPIRINE DU RHÔNE 500 mg, comprimé	http://www.romedi.fr/romedi/BNrjuqb7kvod21amodi2afc8g654jsvl7t	ASPIRINE DU RHÔNE	6514	3400890075879	aspirine du rhone 500 mg, comprime
CIS64872883	ASPIRINE PROTECT 300 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/BNhkqb5k9pjtpnc0ija9gc4a1ttuksn3bl	ASPIRINE PROTECT	12658	3400892004563	aspirine protect 300 mg, comprime gastro-resistant
CIS64755969	KARDEGIC 75 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/BNntab5t21sddeqvbs5531h143o2knmbae	KARDEGIC	11522	3400892065366	kardegic 75 mg, poudre pour solution buvable en sachet-dose
CIS64866332	ASASANTINE L.P. 200 mg/25 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/BNscj53pcdh5rd0g0lbdaer2mqoso87lme	ASASANTINE	11105	3400892001371	asasantine l.p. 200 mg/25 mg, gelule a liberation prolongee
CIS65265765	ASPIRINE UPSA 500 mg, comprimé effervescent	http://www.romedi.fr/romedi/BNvnlp7f89odf80s6nrdmtce56kfjp4fbm	ASPIRINE	1811	3400891568967	aspirine upsa 500 mg, comprime effervescent
CIS66565609	ASPIRINE RICHARD 500 mg, comprimé	http://www.romedi.fr/romedi/BNvnlp7f89odf80s6nrdmtce56kfjp4fbm	ASPIRINE	14	3400891594812	aspirine richard 500 mg, comprime
CIS68815221	KARDEGIC 300 mg, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/BNntab5t21sddeqvbs5531h143o2knmbae	KARDEGIC	5228	3400891576191	kardegic 300 mg, poudre pour solution buvable en sachet
CIS69029253	ASPIRINE DU RHONE 500 mg, comprimé à croquer	http://www.romedi.fr/romedi/BNobhplgd566kgqs3g3a0cf6tp5mnfh8b2	ASPIRINE DU RHONE	7832	3400891572810	aspirine du rhone 500 mg, comprime a croquer
CIS68604982	RESITUNE 75 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/BNoj39crprntl0nn1rqf873tpsn6eeuh8f	RESITUNE	30928	3400894214014	resitune 75 mg, comprime gastro-resistant
CIS61752409	RAPAMUNE 1 mg/ml, solution buvable	http://www.romedi.fr/romedi/BNmh4o65ugpbk7bj9chlupgrcd8kkg2879	RAPAMUNE	13720	3400892288161	rapamune 1 mg/ml, solution buvable
CIS64597615	RAPAMUNE 1 mg, comprimé enrobé	http://www.romedi.fr/romedi/BNmh4o65ugpbk7bj9chlupgrcd8kkg2879	RAPAMUNE	13919	3400892380803	rapamune 1 mg, comprime enrobe
CIS65164182	RAPAMUNE 2 mg, comprimé enrobé	http://www.romedi.fr/romedi/BNmh4o65ugpbk7bj9chlupgrcd8kkg2879	RAPAMUNE	14121	3400892460857	rapamune 2 mg, comprime enrobe
CIS69171174	RAPAMUNE 0,5 mg, comprimé enrobé	http://www.romedi.fr/romedi/BNmh4o65ugpbk7bj9chlupgrcd8kkg2879	RAPAMUNE	25755	3400893539934	rapamune 0,5 mg, comprime enrobe
CIS61072758	ADRENALINE AGUETTANT 1 mg/ml, solution injectable en ampoule	http://www.romedi.fr/romedi/BN1ui43rp7chvqfah84rja9d44tr5ikdr5	ADRENALINE	6858	3400890013208	adrenaline aguettant 1 mg/ml, solution injectable en ampoule
CIS60484221	SEPTANEST 40 mg/ml ADRENALINEE AU 1/100 000, solution injectable à usage dentaire	http://www.romedi.fr/romedi/BN63uekcuemvf6at5obhojknkigqh3dnkr	SEPTANEST	15888	3400891582406	septanest 40 mg/ml adrenalinee au 1/100 000, solution injectable a usage dentaire
CIS61459178	XYLOCAINE 20 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	http://www.romedi.fr/romedi/BNh3eg0d39gqdap16pcs69g7oaorehvb19	XYLOCAINE	6457	3400891015768	xylocaine 20 mg/ml adrenaline 0,005 mg/ml, solution injectable
CIS60197246	ADRENALINE RENAUDIN 1 mg/ml, solution injectable	http://www.romedi.fr/romedi/BN1ui43rp7chvqfah84rja9d44tr5ikdr5	ADRENALINE	21630	3400892620268	adrenaline renaudin 1 mg/ml, solution injectable
CIS62031508	ANAPEN 150 microgrammes/0,3 ml, solution injectable en seringue préremplie	http://www.romedi.fr/romedi/BNskmg5q2396hsqkm1bh73lr3ldp53uu3q	ANAPEN	13839	3400892222394	anapen 150 microgrammes/0,3 ml, solution injectable en seringue preremplie
CIS62538162	ANAPEN 300 microgrammes/0,3 ml, solution injectable en seringue préremplie	http://www.romedi.fr/romedi/BNskmg5q2396hsqkm1bh73lr3ldp53uu3q	ANAPEN	13838	3400892222455	anapen 300 microgrammes/0,3 ml, solution injectable en seringue preremplie
CIS60533348	LIDOCAÏNE 20 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	http://www.romedi.fr/romedi/BNm725bv27sv8ld9l02qra4od39gpr2l3s	LIDOCAINE/ADRENALINE	26360	3400893916575	lidocaine 20 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable
CIS61846627	EPIPEN 0,15 mg/0,3 ml, solution injectable en stylo pré-rempli	http://www.romedi.fr/romedi/BNcnae6kb1hti0g866bt40mn6o0pojv4do	EPIPEN	28194	3400894022893	epipen 0,15 mg/0,3 ml, solution injectable en stylo pre-rempli
CIS62227058	LIDOCAÏNE 10 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	http://www.romedi.fr/romedi/BNm725bv27sv8ld9l02qra4od39gpr2l3s	LIDOCAINE/ADRENALINE	26359	3400893916407	lidocaine 10 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable
CIS68649778	XYLOCAINE 10 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	http://www.romedi.fr/romedi/BNh3eg0d39gqdap16pcs69g7oaorehvb19	XYLOCAINE	883	3400891015249	xylocaine 10 mg/ml adrenaline 0,005 mg/ml, solution injectable
CIS65551161	LIDOCAINE 20 mg/mL ADRENALINE 0,0125 mg/mL AGUETTANT, solution injectable	http://www.romedi.fr/romedi/BNm725bv27sv8ld9l02qra4od39gpr2l3s	LIDOCAINE/ADRENALINE	16167	3400892504544	lidocaine 20 mg/ml adrenaline 0,0125 mg/ml aguettant, solution injectable
CIS69490204	LIDOCAINE 10 mg/mL ADRENALINE 0,0100 mg/mL AGUETTANT, solution injectable	http://www.romedi.fr/romedi/BNm725bv27sv8ld9l02qra4od39gpr2l3s	LIDOCAINE/ADRENALINE	16166	3400892504483	lidocaine 10 mg/ml adrenaline 0,0100 mg/ml aguettant, solution injectable
CIS69150358	ADRENALINE AGUETTANT 1 mg/ml SANS SULFITE, solution injectable	http://www.romedi.fr/romedi/BN1ui43rp7chvqfah84rja9d44tr5ikdr5	ADRENALINE	23626	3400893064627	adrenaline aguettant 1 mg/ml sans sulfite, solution injectable
CIS69325747	ADRENALINE RENAUDIN 0,25 mg/ml, solution injectable en ampoule	http://www.romedi.fr/romedi/BN1ui43rp7chvqfah84rja9d44tr5ikdr5	ADRENALINE	12409	3400892620909	adrenaline renaudin 0,25 mg/ml, solution injectable en ampoule
CIS69553494	ADRENALINE RENAUDIN 1 mg/ml, solution injectable en ampoule	http://www.romedi.fr/romedi/BN1ui43rp7chvqfah84rja9d44tr5ikdr5	ADRENALINE	12411	3400892620039	adrenaline renaudin 1 mg/ml, solution injectable en ampoule
CIS69553494	ADRENALINE RENAUDIN 1 mg/ml, solution injectable en ampoule	http://www.romedi.fr/romedi/BN1ui43rp7chvqfah84rja9d44tr5ikdr5	ADRENALINE	22239	3400892620039	adrenaline renaudin 1 mg/ml, solution injectable en ampoule
CIS69556177	ADRENALINE RENAUDIN 0,50 mg/ml, solution injectable	http://www.romedi.fr/romedi/BN1ui43rp7chvqfah84rja9d44tr5ikdr5	ADRENALINE	12410	3400892619958	adrenaline renaudin 0,50 mg/ml, solution injectable
CIS69556177	ADRENALINE RENAUDIN 0,50 mg/ml, solution injectable	http://www.romedi.fr/romedi/BN1ui43rp7chvqfah84rja9d44tr5ikdr5	ADRENALINE	22238	3400892619958	adrenaline renaudin 0,50 mg/ml, solution injectable
CIS60420681	PERIKABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/BNc9pj5ei2i8svsu7ai0t05u5cjp249t10	PERIKABIVEN	14054	3400892299167	perikabiven, emulsion pour perfusion
CIS60447372	OLICLINOMEL N 6-900 E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNg6r5tfiljhmfjhcrjj83o9sqteth9bnt	OLICLINOMEL	15540	3400892282138	oliclinomel n 6-900 e, emulsion pour perfusion
CIS61117445	CLINIMIX N9 G15 E, solution pour perfusion en poche bicompartiment	http://www.romedi.fr/romedi/BNj6ambsbuk5nf03vhr758pfdjlas4gqla	CLINIMIX N9 G15 E	22646	3400892358390	clinimix n9 g15 e, solution pour perfusion en poche bicompartiment
CIS61117445	CLINIMIX N9 G15 E, solution pour perfusion en poche bicompartiment	http://www.romedi.fr/romedi/BNj6ambsbuk5nf03vhr758pfdjlas4gqla	CLINIMIX N9 G15 E	22649	3400892358680	clinimix n9 g15 e, solution pour perfusion en poche bicompartiment
CIS60420681	PERIKABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/BNc9pj5ei2i8svsu7ai0t05u5cjp249t10	PERIKABIVEN	21672	3400893171127	perikabiven, emulsion pour perfusion
CIS60420681	PERIKABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/BNc9pj5ei2i8svsu7ai0t05u5cjp249t10	PERIKABIVEN	25049	3400893171295	perikabiven, emulsion pour perfusion
CIS60420681	PERIKABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/BNc9pj5ei2i8svsu7ai0t05u5cjp249t10	PERIKABIVEN	25050	3400893171356	perikabiven, emulsion pour perfusion
CIS61684869	PERIOLIMEL N4E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN2hvh4n1jg77bc8vljvn1edatgmqoqn8g	PERIOLIMEL N4E	22477	3400893181690	periolimel n4e, emulsion pour perfusion
CIS61684869	PERIOLIMEL N4E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN2hvh4n1jg77bc8vljvn1edatgmqoqn8g	PERIOLIMEL N4E	24861	3400893181751	periolimel n4e, emulsion pour perfusion
CIS61684869	PERIOLIMEL N4E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN2hvh4n1jg77bc8vljvn1edatgmqoqn8g	PERIOLIMEL N4E	24049	3400893181812	periolimel n4e, emulsion pour perfusion
CIS62201138	OLIMEL N7E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN4b6iqvv0779um313pmviv1bq271ajnn0	OLIMEL N7E	22419	3400893180570	olimel n7e, emulsion pour perfusion
CIS62201138	OLIMEL N7E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN4b6iqvv0779um313pmviv1bq271ajnn0	OLIMEL N7E	22461	3400893180631	olimel n7e, emulsion pour perfusion
CIS62201138	OLIMEL N7E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN4b6iqvv0779um313pmviv1bq271ajnn0	OLIMEL N7E	24862	3400893180860	olimel n7e, emulsion pour perfusion
CIS62427265	SMOFKABIVEN E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNqksuq97mo78c3gkau5a4rnbb9lvlh4bj	SMOFKABIVEN E	25038	3400893312766	smofkabiven e, emulsion pour perfusion
CIS63337059	KABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/BNk0204cbhkmeda7avv78f0sl03v7i944r	KABIVEN	25045	3400893170755	kabiven, emulsion pour perfusion
CIS63337059	KABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/BNk0204cbhkmeda7avv78f0sl03v7i944r	KABIVEN	25046	3400893170816	kabiven, emulsion pour perfusion
CIS62427265	SMOFKABIVEN E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNqksuq97mo78c3gkau5a4rnbb9lvlh4bj	SMOFKABIVEN E	22470	3400893312827	smofkabiven e, emulsion pour perfusion
CIS62427265	SMOFKABIVEN E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNqksuq97mo78c3gkau5a4rnbb9lvlh4bj	SMOFKABIVEN E	25035	3400893312995	smofkabiven e, emulsion pour perfusion
CIS62427265	SMOFKABIVEN E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNqksuq97mo78c3gkau5a4rnbb9lvlh4bj	SMOFKABIVEN E	24729	3400893313077	smofkabiven e, emulsion pour perfusion
CIS62217480	REANUTRIFLEX OMEGA G 144/N 8/E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN61agg1b4i9mc4i6c168lg9rojk29q6md	REANUTRIFLEX	25736	3400893681732	reanutriflex omega g 144/n 8/e, emulsion pour perfusion
CIS62217480	REANUTRIFLEX OMEGA G 144/N 8/E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN61agg1b4i9mc4i6c168lg9rojk29q6md	REANUTRIFLEX	25737	3400893681961	reanutriflex omega g 144/n 8/e, emulsion pour perfusion
CIS67596034	OLICLINOMEL N 4-550 E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNg6r5tfiljhmfjhcrjj83o9sqteth9bnt	OLICLINOMEL	15545	3400892280295	oliclinomel n 4-550 e, emulsion pour perfusion
CIS67596034	OLICLINOMEL N 4-550 E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNg6r5tfiljhmfjhcrjj83o9sqteth9bnt	OLICLINOMEL	15543	3400892280356	oliclinomel n 4-550 e, emulsion pour perfusion
CIS67596034	OLICLINOMEL N 4-550 E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNg6r5tfiljhmfjhcrjj83o9sqteth9bnt	OLICLINOMEL	15546	3400892280417	oliclinomel n 4-550 e, emulsion pour perfusion
CIS68868590	OLICLINOMEL N7-1000 E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNqkpfrv1pei9l737qmb3td1tkhcnbr62t	OLICLINOMEL N7-1000 E	16421	3400892282886	oliclinomel n7-1000 e, emulsion pour perfusion
CIS68868590	OLICLINOMEL N7-1000 E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNqkpfrv1pei9l737qmb3td1tkhcnbr62t	OLICLINOMEL N7-1000 E	16422	3400892282947	oliclinomel n7-1000 e, emulsion pour perfusion
CIS68868590	OLICLINOMEL N7-1000 E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNqkpfrv1pei9l737qmb3td1tkhcnbr62t	OLICLINOMEL N7-1000 E	16423	3400892283029	oliclinomel n7-1000 e, emulsion pour perfusion
CIS65461618	NUTRINEAL PD4 A 1,1 POUR CENT D'ACIDES AMINES, solution pour dialyse péritonéale	http://www.romedi.fr/romedi/BNr02abvnpllk15vk44e5i7m5enrn5pqf6	NUTRINEAL PD4	25140	3400892881263	nutrineal pd4 a 1,1 pour cent d'acides amines, solution pour dialyse peritoneale
CIS65461618	NUTRINEAL PD4 A 1,1 POUR CENT D'ACIDES AMINES, solution pour dialyse péritonéale	http://www.romedi.fr/romedi/BNr02abvnpllk15vk44e5i7m5enrn5pqf6	NUTRINEAL PD4	23128	3400892881553	nutrineal pd4 a 1,1 pour cent d'acides amines, solution pour dialyse peritoneale
CIS66067708	AMINOMIX 800 E, solution pour perfusion	http://www.romedi.fr/romedi/BN4qc42ces5mlat0t15dq5fqa3ds0i0q5d	AMINOMIX E	21044	3400892926711	aminomix 800 e, solution pour perfusion
CIS66067708	AMINOMIX 800 E, solution pour perfusion	http://www.romedi.fr/romedi/BN4qc42ces5mlat0t15dq5fqa3ds0i0q5d	AMINOMIX E	22163	3400892926889	aminomix 800 e, solution pour perfusion
CIS66067708	AMINOMIX 800 E, solution pour perfusion	http://www.romedi.fr/romedi/BN4qc42ces5mlat0t15dq5fqa3ds0i0q5d	AMINOMIX E	22164	3400892926940	aminomix 800 e, solution pour perfusion
CIS66286011	AMINOMIX 500 E, solution pour perfusion	http://www.romedi.fr/romedi/BN4qc42ces5mlat0t15dq5fqa3ds0i0q5d	AMINOMIX E	23247	3400892926421	aminomix 500 e, solution pour perfusion
CIS66286011	AMINOMIX 500 E, solution pour perfusion	http://www.romedi.fr/romedi/BN4qc42ces5mlat0t15dq5fqa3ds0i0q5d	AMINOMIX E	23248	3400892926599	aminomix 500 e, solution pour perfusion
CIS66286011	AMINOMIX 500 E, solution pour perfusion	http://www.romedi.fr/romedi/BN4qc42ces5mlat0t15dq5fqa3ds0i0q5d	AMINOMIX E	23249	3400892926650	aminomix 500 e, solution pour perfusion
CIS65418143	MEDNUTRIFLEX LIPIDE G 120/N 5,4/E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNc0p9njph6tmrsjvtohs0fj1pijnoltc2	MEDNUTRIFLEX LIPIDE	21715	3400893098226	mednutriflex lipide g 120/n 5,4/e, emulsion pour perfusion
CIS65418143	MEDNUTRIFLEX LIPIDE G 120/N 5,4/E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNc0p9njph6tmrsjvtohs0fj1pijnoltc2	MEDNUTRIFLEX LIPIDE	24872	3400893098394	mednutriflex lipide g 120/n 5,4/e, emulsion pour perfusion
CIS66032721	OLIMEL N9E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNs1hqdepjslh83fgk7fga0t0v1dplcq1n	OLIMEL N9E	24864	3400893181232	olimel n9e, emulsion pour perfusion
CIS66032721	OLIMEL N9E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNs1hqdepjslh83fgk7fga0t0v1dplcq1n	OLIMEL N9E	24824	3400893181461	olimel n9e, emulsion pour perfusion
CIS66032721	OLIMEL N9E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNs1hqdepjslh83fgk7fga0t0v1dplcq1n	OLIMEL N9E	24865	3400893181522	olimel n9e, emulsion pour perfusion
CIS68074594	PERINUTRIFLEX LIPIDE G 64/N 4,6/E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN67cd6c1cfs26qi13836isabjjp1annd7	PERINUTRIFLEX LIPIDE	14043	3400893098455	perinutriflex lipide g 64/n 4,6/e, emulsion pour perfusion
CIS68861083	REANUTRIFLEX LIPIDE G 144/N 8/E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNbh3vpoodlfe3p6pkodmb6pbiof7lpapv	REANUTRIFLEX LIPIDE	25063	3400893098745	reanutriflex lipide g 144/n 8/e, emulsion pour perfusion
CIS69040082	MEDNUTRIFLEX OMEGA G 120/N 5,4/E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNpaqk1dqcdd0boa07l40nu128nfuolric	MEDNUTRIFLEX	25733	3400893681442	mednutriflex omega g 120/n 5,4/e, emulsion pour perfusion
CIS69040082	MEDNUTRIFLEX OMEGA G 120/N 5,4/E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNpaqk1dqcdd0boa07l40nu128nfuolric	MEDNUTRIFLEX	25734	3400893681503	mednutriflex omega g 120/n 5,4/e, emulsion pour perfusion
CIS64875819	NUMETAH G19%E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNh8pq26ia6bdj4fepjl37p70454gm5qbs	NUMETAH G19%E	27943	3400893782439	numetah g19%e, emulsion pour perfusion
CIS69278991	NUMETAH G16%E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN1gpl3qu99bt2obbmoqtcl0slrpqk1qg5	NUMETAH G16%E	26977	3400893692738	numetah g16%e, emulsion pour perfusion
CIS66490117	NUMETAH G13% E PREMATURES, émulsion pour perfusion	http://www.romedi.fr/romedi/BN30odga54pnt2sv9slvm573ltqdfu1b4i	NUMETAH G13% E PREMATURES	30813	3400894185055	numetah g13% e prematures, emulsion pour perfusion
CIS63028269	ISOBAR, comprimé sécable	http://www.romedi.fr/romedi/BN9f5vobhn5i3jv87pq6aamnpd56fk4sjp	ISOBAR	1147	3400891290080	isobar, comprime secable
CIS63870751	PRESTOLE, gélule	http://www.romedi.fr/romedi/BNof2v78dfgbm1gs4drl995r61d518jnk0	PRESTOLE	5488	3400890750868	prestole, gelule
CIS61834055	BURINEX 2 mg/4 ml IV, solution injectable en ampoule	http://www.romedi.fr/romedi/BN1k779idiisumlt3275kpqe86gc9j70g6	BURINEX	196	3400891217452	burinex 2 mg/4 ml iv, solution injectable en ampoule
CIS67563415	BURINEX 5 mg, comprimé	http://www.romedi.fr/romedi/BN1k779idiisumlt3275kpqe86gc9j70g6	BURINEX	947	3400891262346	burinex 5 mg, comprime
CIS68232635	BURINEX 1 mg, comprimé	http://www.romedi.fr/romedi/BN1k779idiisumlt3275kpqe86gc9j70g6	BURINEX	6111	3400891217391	burinex 1 mg, comprime
CIS63975542	THALIDOMIDE CELGENE 50 mg, gélule	http://www.romedi.fr/romedi/BNe8lbi1vdq11cb01s00iof52idjgl8g26	THALIDOMIDE	21790	3400893309636	thalidomide celgene 50 mg, gelule
CIS61707595	SANDOSTATINE 500 microgrammes/1 mL, solution injectable/pour perfusion	http://www.romedi.fr/romedi/BNvdntph3tclufum8q2s1gmaca6ajpthh4	SANDOSTATINE	3635	3400891464030	sandostatine 500 microgrammes/1 ml, solution injectable/pour perfusion
CIS61881699	SANDOSTATINE L.P. 30 mg, poudre et solvant pour suspension injectable	http://www.romedi.fr/romedi/BNvdntph3tclufum8q2s1gmaca6ajpthh4	SANDOSTATINE	15901	3400892784069	sandostatine l.p. 30 mg, poudre et solvant pour suspension injectable
CIS62287824	OCTREOTIDE HOSPIRA 50 microgrammes/1 ml, solution injectable	http://www.romedi.fr/romedi/BN98o86bspb06vbguq7bjegjiqkujcrsts	OCTREOTIDE	24126	3400893325315	octreotide hospira 50 microgrammes/1 ml, solution injectable
CIS63127541	OCTREOTIDE HOSPIRA 500 microgrammes/1 ml, solution injectable	http://www.romedi.fr/romedi/BN98o86bspb06vbguq7bjegjiqkujcrsts	OCTREOTIDE	24125	3400893325483	octreotide hospira 500 microgrammes/1 ml, solution injectable
CIS61881699	SANDOSTATINE L.P. 30 mg, poudre et solvant pour suspension injectable	http://www.romedi.fr/romedi/BNvdntph3tclufum8q2s1gmaca6ajpthh4	SANDOSTATINE	31868	3400894334569	sandostatine l.p. 30 mg, poudre et solvant pour suspension injectable
CIS66004031	SANDOSTATINE 100 microgrammes/1 mL, solution injectable/pour perfusion	http://www.romedi.fr/romedi/BNvdntph3tclufum8q2s1gmaca6ajpthh4	SANDOSTATINE	2467	3400891372557	sandostatine 100 microgrammes/1 ml, solution injectable/pour perfusion
CIS68949551	SANDOSTATINE 50 microgrammes/1 mL, solution injectable/pour perfusion	http://www.romedi.fr/romedi/BNvdntph3tclufum8q2s1gmaca6ajpthh4	SANDOSTATINE	2466	3400891372618	sandostatine 50 microgrammes/1 ml, solution injectable/pour perfusion
