diseaseUri	CIS	CISLabel	CISLabel_processed
Q1338684	CIS64866332	ASASANTINE L.P. 200 mg/25 mg, gélule à libération prolongée	asasantine l.p. 200 mg/25 mg, gelule a liberation prolongee
Q1338684	CIS65265765	ASPIRINE UPSA 500 mg, comprimé effervescent	aspirine upsa 500 mg, comprime effervescent
Q1338684	CIS66565609	ASPIRINE RICHARD 500 mg, comprimé	aspirine richard 500 mg, comprime
Q1338684	CIS68815221	KARDEGIC 300 mg, poudre pour solution buvable en sachet	kardegic 300 mg, poudre pour solution buvable en sachet
Q1338684	CIS69029253	ASPIRINE DU RHONE 500 mg, comprimé à croquer	aspirine du rhone 500 mg, comprime a croquer
Q1338684	CIS68604982	RESITUNE 75 mg, comprimé gastro-résistant	resitune 75 mg, comprime gastro-resistant
Q1444550	CIS61162942	ASPEGIC 500 mg, poudre pour solution buvable en sachet-dose	aspegic 500 mg, poudre pour solution buvable en sachet-dose
Q1444550	CIS61348441	KARDEGIC 160 mg, poudre pour solution buvable en sachet	kardegic 160 mg, poudre pour solution buvable en sachet
Q1444550	CIS61172160	ASPIRINE UPSA TAMPONNEE EFFERVESCENTE 1000 mg, comprimé effervescent	aspirine upsa tamponnee effervescente 1000 mg, comprime effervescent
Q1444550	CIS61751232	MIGPRIV, poudre pour solution buvable en sachet	migpriv, poudre pour solution buvable en sachet
Q1444550	CIS63936571	ASPEGIC ADULTES 1000 mg, poudre pour solution buvable en sachet-dose	aspegic adultes 1000 mg, poudre pour solution buvable en sachet-dose
Q1444550	CIS62018101	KARDEGIC 500 mg/5 ml, poudre pour solution injectable	kardegic 500 mg/5 ml, poudre pour solution injectable
Q1444550	CIS61952274	DUOPLAVIN 75 mg/75 mg, comprimé pelliculé	duoplavin 75 mg/75 mg, comprime pellicule
Q1444550	CIS62406125	PRAVADUAL, comprimé	pravadual, comprime
Q1444550	CIS61464022	ASPIRINE PROTECT 100 mg, comprimé gastro-résistant	aspirine protect 100 mg, comprime gastro-resistant
Q1444550	CIS63346396	RESITUNE 100 mg, comprimé gastro-résistant	resitune 100 mg, comprime gastro-resistant
Q1444550	CIS66311831	ASPEGIC ENFANTS 250, poudre pour solution buvable en sachet-dose	aspegic enfants 250, poudre pour solution buvable en sachet-dose
Q1444550	CIS66769394	ASPEGIC NOURRISSONS 100 mg, poudre pour solution buvable en sachet-dose	aspegic nourrissons 100 mg, poudre pour solution buvable en sachet-dose
Q1444550	CIS64849094	NOVACETOL (ASPIRINE PARACETAMOL), comprimé	novacetol (aspirine paracetamol), comprime
Q1444550	CIS67831952	ASPIRINE UPSA VITAMINEE C TAMPONNEE EFFERVESCENTE, comprimé effervescent	aspirine upsa vitaminee c tamponnee effervescente, comprime effervescent
Q1444550	CIS69781373	ASPIRINE pH 8 500 mg, comprimé gastro-résistant	aspirine ph 8 500 mg, comprime gastro-resistant
Q1444550	CIS68300762	ASPEGIC INJECTABLE 1 g, poudre et solution pour préparation injectable	aspegic injectable 1 g, poudre et solution pour preparation injectable
Q1444550	CIS68852682	ASPEGIC INJECTABLE 500 mg/5 ml, poudre et solution pour usage parentéral	aspegic injectable 500 mg/5 ml, poudre et solution pour usage parenteral
Q1444550	CIS68799614	ASPIRINE DU RHÔNE 500 mg, comprimé	aspirine du rhone 500 mg, comprime
Q1444550	CIS64872883	ASPIRINE PROTECT 300 mg, comprimé gastro-résistant	aspirine protect 300 mg, comprime gastro-resistant
Q1444550	CIS64755969	KARDEGIC 75 mg, poudre pour solution buvable en sachet-dose	kardegic 75 mg, poudre pour solution buvable en sachet-dose
Q1444550	CIS64866332	ASASANTINE L.P. 200 mg/25 mg, gélule à libération prolongée	asasantine l.p. 200 mg/25 mg, gelule a liberation prolongee
Q1444550	CIS65265765	ASPIRINE UPSA 500 mg, comprimé effervescent	aspirine upsa 500 mg, comprime effervescent
Q1444550	CIS66565609	ASPIRINE RICHARD 500 mg, comprimé	aspirine richard 500 mg, comprime
Q1444550	CIS68815221	KARDEGIC 300 mg, poudre pour solution buvable en sachet	kardegic 300 mg, poudre pour solution buvable en sachet
Q1444550	CIS69029253	ASPIRINE DU RHONE 500 mg, comprimé à croquer	aspirine du rhone 500 mg, comprime a croquer
Q1444550	CIS68604982	RESITUNE 75 mg, comprimé gastro-résistant	resitune 75 mg, comprime gastro-resistant
Q1194520	CIS61752409	RAPAMUNE 1 mg/ml, solution buvable	rapamune 1 mg/ml, solution buvable
Q1194520	CIS64597615	RAPAMUNE 1 mg, comprimé enrobé	rapamune 1 mg, comprime enrobe
Q1194520	CIS65164182	RAPAMUNE 2 mg, comprimé enrobé	rapamune 2 mg, comprime enrobe
Q1194520	CIS69171174	RAPAMUNE 0,5 mg, comprimé enrobé	rapamune 0,5 mg, comprime enrobe
Q848662	CIS61072758	ADRENALINE AGUETTANT 1 mg/ml, solution injectable en ampoule	adrenaline aguettant 1 mg/ml, solution injectable en ampoule
Q848662	CIS60484221	SEPTANEST 40 mg/ml ADRENALINEE AU 1/100 000, solution injectable à usage dentaire	septanest 40 mg/ml adrenalinee au 1/100 000, solution injectable a usage dentaire
Q848662	CIS61459178	XYLOCAINE 20 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	xylocaine 20 mg/ml adrenaline 0,005 mg/ml, solution injectable
Q848662	CIS60197246	ADRENALINE RENAUDIN 1 mg/ml, solution injectable	adrenaline renaudin 1 mg/ml, solution injectable
Q848662	CIS62031508	ANAPEN 150 microgrammes/0,3 ml, solution injectable en seringue préremplie	anapen 150 microgrammes/0,3 ml, solution injectable en seringue preremplie
Q848662	CIS62538162	ANAPEN 300 microgrammes/0,3 ml, solution injectable en seringue préremplie	anapen 300 microgrammes/0,3 ml, solution injectable en seringue preremplie
Q848662	CIS60533348	LIDOCAÏNE 20 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	lidocaine 20 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable
Q848662	CIS61846627	EPIPEN 0,15 mg/0,3 ml, solution injectable en stylo pré-rempli	epipen 0,15 mg/0,3 ml, solution injectable en stylo pre-rempli
Q848662	CIS62227058	LIDOCAÏNE 10 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	lidocaine 10 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable
Q848662	CIS68649778	XYLOCAINE 10 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	xylocaine 10 mg/ml adrenaline 0,005 mg/ml, solution injectable
Q848662	CIS65551161	LIDOCAINE 20 mg/mL ADRENALINE 0,0125 mg/mL AGUETTANT, solution injectable	lidocaine 20 mg/ml adrenaline 0,0125 mg/ml aguettant, solution injectable
Q848662	CIS69490204	LIDOCAINE 10 mg/mL ADRENALINE 0,0100 mg/mL AGUETTANT, solution injectable	lidocaine 10 mg/ml adrenaline 0,0100 mg/ml aguettant, solution injectable
Q848662	CIS69150358	ADRENALINE AGUETTANT 1 mg/ml SANS SULFITE, solution injectable	adrenaline aguettant 1 mg/ml sans sulfite, solution injectable
Q848662	CIS69325747	ADRENALINE RENAUDIN 0,25 mg/ml, solution injectable en ampoule	adrenaline renaudin 0,25 mg/ml, solution injectable en ampoule
Q848662	CIS69553494	ADRENALINE RENAUDIN 1 mg/ml, solution injectable en ampoule	adrenaline renaudin 1 mg/ml, solution injectable en ampoule
Q848662	CIS69556177	ADRENALINE RENAUDIN 0,50 mg/ml, solution injectable	adrenaline renaudin 0,50 mg/ml, solution injectable
Q511818	CIS60420681	PERIKABIVEN, émulsion pour perfusion	perikabiven, emulsion pour perfusion
Q511818	CIS60447372	OLICLINOMEL N 6-900 E, émulsion pour perfusion	oliclinomel n 6-900 e, emulsion pour perfusion
Q511818	CIS61117445	CLINIMIX N9 G15 E, solution pour perfusion en poche bicompartiment	clinimix n9 g15 e, solution pour perfusion en poche bicompartiment
Q511818	CIS61684869	PERIOLIMEL N4E, émulsion pour perfusion	periolimel n4e, emulsion pour perfusion
Q511818	CIS62201138	OLIMEL N7E, émulsion pour perfusion	olimel n7e, emulsion pour perfusion
Q511818	CIS62427265	SMOFKABIVEN E, émulsion pour perfusion	smofkabiven e, emulsion pour perfusion
Q511818	CIS63337059	KABIVEN, émulsion pour perfusion	kabiven, emulsion pour perfusion
Q511818	CIS62217480	REANUTRIFLEX OMEGA G 144/N 8/E, émulsion pour perfusion	reanutriflex omega g 144/n 8/e, emulsion pour perfusion
Q511818	CIS67596034	OLICLINOMEL N 4-550 E, émulsion pour perfusion	oliclinomel n 4-550 e, emulsion pour perfusion
Q511818	CIS68868590	OLICLINOMEL N7-1000 E, émulsion pour perfusion	oliclinomel n7-1000 e, emulsion pour perfusion
Q511818	CIS65461618	NUTRINEAL PD4 A 1,1 POUR CENT D'ACIDES AMINES, solution pour dialyse péritonéale	nutrineal pd4 a 1,1 pour cent d'acides amines, solution pour dialyse peritoneale
Q511818	CIS66067708	AMINOMIX 800 E, solution pour perfusion	aminomix 800 e, solution pour perfusion
Q511818	CIS66286011	AMINOMIX 500 E, solution pour perfusion	aminomix 500 e, solution pour perfusion
Q511818	CIS65418143	MEDNUTRIFLEX LIPIDE G 120/N 5,4/E, émulsion pour perfusion	mednutriflex lipide g 120/n 5,4/e, emulsion pour perfusion
Q511818	CIS66032721	OLIMEL N9E, émulsion pour perfusion	olimel n9e, emulsion pour perfusion
Q511818	CIS68074594	PERINUTRIFLEX LIPIDE G 64/N 4,6/E, émulsion pour perfusion	perinutriflex lipide g 64/n 4,6/e, emulsion pour perfusion
Q511818	CIS68861083	REANUTRIFLEX LIPIDE G 144/N 8/E, émulsion pour perfusion	reanutriflex lipide g 144/n 8/e, emulsion pour perfusion
Q511818	CIS69040082	MEDNUTRIFLEX OMEGA G 120/N 5,4/E, émulsion pour perfusion	mednutriflex omega g 120/n 5,4/e, emulsion pour perfusion
Q511818	CIS64875819	NUMETAH G19%E, émulsion pour perfusion	numetah g19%e, emulsion pour perfusion
Q511818	CIS69278991	NUMETAH G16%E, émulsion pour perfusion	numetah g16%e, emulsion pour perfusion
Q511818	CIS66490117	NUMETAH G13% E PREMATURES, émulsion pour perfusion	numetah g13% e prematures, emulsion pour perfusion
Q486485	CIS63028269	ISOBAR, comprimé sécable	isobar, comprime secable
Q486485	CIS63870751	PRESTOLE, gélule	prestole, gelule
Q486485	CIS61834055	BURINEX 2 mg/4 ml IV, solution injectable en ampoule	burinex 2 mg/4 ml iv, solution injectable en ampoule
Q486485	CIS67563415	BURINEX 5 mg, comprimé	burinex 5 mg, comprime
Q486485	CIS68232635	BURINEX 1 mg, comprimé	burinex 1 mg, comprime
Q1363738	CIS63975542	THALIDOMIDE CELGENE 50 mg, gélule	thalidomide celgene 50 mg, gelule
Q339547	CIS61707595	SANDOSTATINE 500 microgrammes/1 mL, solution injectable/pour perfusion	sandostatine 500 microgrammes/1 ml, solution injectable/pour perfusion
Q339547	CIS61881699	SANDOSTATINE L.P. 30 mg, poudre et solvant pour suspension injectable	sandostatine l.p. 30 mg, poudre et solvant pour suspension injectable
Q339547	CIS62287824	OCTREOTIDE HOSPIRA 50 microgrammes/1 ml, solution injectable	octreotide hospira 50 microgrammes/1 ml, solution injectable
Q339547	CIS63127541	OCTREOTIDE HOSPIRA 500 microgrammes/1 ml, solution injectable	octreotide hospira 500 microgrammes/1 ml, solution injectable
Q339547	CIS66004031	SANDOSTATINE 100 microgrammes/1 mL, solution injectable/pour perfusion	sandostatine 100 microgrammes/1 ml, solution injectable/pour perfusion
Q339547	CIS68949551	SANDOSTATINE 50 microgrammes/1 mL, solution injectable/pour perfusion	sandostatine 50 microgrammes/1 ml, solution injectable/pour perfusion
Q339547	CIS64494476	SANDOSTATINE L.P. 10 mg, poudre et solvant pour suspension injectable	sandostatine l.p. 10 mg, poudre et solvant pour suspension injectable
Q339547	CIS69869122	SANDOSTATINE L.P. 20 mg, poudre et solvant pour suspension injectable	sandostatine l.p. 20 mg, poudre et solvant pour suspension injectable
Q339547	CIS65490897	SIROCTID 0,05 mg/ml, solution injectable ou solution à diluer pour perfusion en seringue préremplie	siroctid 0,05 mg/ml, solution injectable ou solution a diluer pour perfusion en seringue preremplie
Q339547	CIS69161760	OCTREOTIDE HOSPIRA 100 microgrammes/1 ml, solution injectable	octreotide hospira 100 microgrammes/1 ml, solution injectable
Q339547	CIS66306542	OCTREOTIDE ARROW 500 microgrammes/1 ml, solution injectable	octreotide arrow 500 microgrammes/1 ml, solution injectable
Q339547	CIS65245613	OCTREOTIDE ARROW 100 microgrammes/1 ml, solution injectable	octreotide arrow 100 microgrammes/1 ml, solution injectable
Q339547	CIS64369088	OCTREOTIDE TEVA LP 30 mg, poudre et solvant pour suspension injectable à libération prolongée	octreotide teva lp 30 mg, poudre et solvant pour suspension injectable a liberation prolongee
Q218712	CIS62909137	PARIET 20 mg, comprimé gastro-résistant	pariet 20 mg, comprime gastro-resistant
Q218712	CIS61724146	PARIET 20 mg, comprimé gastro-résistant	pariet 20 mg, comprime gastro-resistant
Q218712	CIS60443801	RABEPRAZOLE ALMUS 20 mg, comprimé gastro-résistant	rabeprazole almus 20 mg, comprime gastro-resistant
Q218712	CIS60494895	RABEPRAZOLE ALTER 20 mg, comprimé gastro-résistant	rabeprazole alter 20 mg, comprime gastro-resistant
Q218712	CIS61212982	RABEPRAZOLE RANBAXY 10 mg, comprimé gastro-résistant	rabeprazole ranbaxy 10 mg, comprime gastro-resistant
Q218712	CIS61305034	RABEPRAZOLE RANBAXY 20 mg, comprimé gastro-résistant	rabeprazole ranbaxy 20 mg, comprime gastro-resistant
Q218712	CIS61438974	RABEPRAZOLE ZENTIVA 10 mg, comprimé gastro-résistant	rabeprazole zentiva 10 mg, comprime gastro-resistant
Q218712	CIS61805185	RABEPRAZOLE TEVA 10 mg, comprimé gastro-résistant	rabeprazole teva 10 mg, comprime gastro-resistant
Q218712	CIS62134839	RABEPRAZOLE BIOGARAN 10 mg, comprimé gastro-résistant	rabeprazole biogaran 10 mg, comprime gastro-resistant
Q218712	CIS62135510	RABEPRAZOLE MYLAN PHARMA 10 mg, comprimé gastro-résistant	rabeprazole mylan pharma 10 mg, comprime gastro-resistant
Q218712	CIS62880365	RABEPRAZOLE EVOLUGEN 20 mg, comprimé gastro-résistant	rabeprazole evolugen 20 mg, comprime gastro-resistant
Q218712	CIS62984887	RABEPRAZOLE EG LABO 20 mg, comprimé gastro-résistant	rabeprazole eg labo 20 mg, comprime gastro-resistant
Q218712	CIS63212397	RABEPRAZOLE CRISTERS 10 mg, comprimé gastro-résistant	rabeprazole cristers 10 mg, comprime gastro-resistant
Q218712	CIS63449026	RABEPRAZOLE ZYDUS 10 mg, comprimé gastro-résistant	rabeprazole zydus 10 mg, comprime gastro-resistant
Q218712	CIS63965740	RABEPRAZOLE ARROW GENERIQUES 10 mg, comprimé gastro-résistant	rabeprazole arrow generiques 10 mg, comprime gastro-resistant
Q218712	CIS63835526	PARIET 10 mg, comprimé gastro-résistant	pariet 10 mg, comprime gastro-resistant
Q218712	CIS64080062	RABEPRAZOLE EG LABO 10 mg, comprimé gastro-résistant	rabeprazole eg labo 10 mg, comprime gastro-resistant
Q218712	CIS64095833	PARIET 10 mg, comprimé gastro-résistant	pariet 10 mg, comprime gastro-resistant
Q218712	CIS66035518	PARIET 10 mg, comprimé gastro-résistant	pariet 10 mg, comprime gastro-resistant
Q218712	CIS64546663	RABEPRAZOLE KRKA 20 mg, comprimé gastro-résistant	rabeprazole krka 20 mg, comprime gastro-resistant
Q218712	CIS64710550	RABEPRAZOLE KRKA 10 mg, comprimé gastro-résistant	rabeprazole krka 10 mg, comprime gastro-resistant
Q218712	CIS66477810	RABEPRAZOLE TEVA 20 mg, comprimé gastro-résistant	rabeprazole teva 20 mg, comprime gastro-resistant
Q218712	CIS68644051	PARIET 20 mg, comprimé gastro-résistant	pariet 20 mg, comprime gastro-resistant
Q218712	CIS64397778	RABEPRAZOLE ALMUS 10 mg, comprimé gastro-résistant	rabeprazole almus 10 mg, comprime gastro-resistant
Q218712	CIS65031278	RABEPRAZOLE ZENTIVA 20 mg, comprimé gastro-résistant	rabeprazole zentiva 20 mg, comprime gastro-resistant
Q218712	CIS65092797	RABEPRAZOLE PHR LAB 10 mg, comprimé gastro-résistant	rabeprazole phr lab 10 mg, comprime gastro-resistant
Q218712	CIS65232587	RABEPRAZOLE PHR LAB 20 mg, comprimé gastro-résistant	rabeprazole phr lab 20 mg, comprime gastro-resistant
Q218712	CIS65622968	RABEPRAZOLE MYLAN PHARMA 20 mg, comprimé gastro-résistant	rabeprazole mylan pharma 20 mg, comprime gastro-resistant
Q218712	CIS65777648	RABEPRAZOLE SANDOZ 20 mg, comprimé gastro-résistant	rabeprazole sandoz 20 mg, comprime gastro-resistant
Q218712	CIS66123498	RABEPRAZOLE ARROW GENERIQUES 20 mg, comprimé gastro-résistant	rabeprazole arrow generiques 20 mg, comprime gastro-resistant
Q218712	CIS66387117	RABEPRAZOLE BIOGARAN 20 mg, comprimé gastro-résistant	rabeprazole biogaran 20 mg, comprime gastro-resistant
Q218712	CIS66416661	RABEPRAZOLE ARROW 10 mg, comprimé gastro-résistant	rabeprazole arrow 10 mg, comprime gastro-resistant
Q218712	CIS66787677	RABEPRAZOLE MYLAN GENERIQUES 10 mg, comprimé gastro-résistant	rabeprazole mylan generiques 10 mg, comprime gastro-resistant
Q218712	CIS67804179	RABEPRAZOLE RATIO 20 mg, comprimé gastro-résistant	rabeprazole ratio 20 mg, comprime gastro-resistant
Q218712	CIS65336041	RABEPRAZOLE ALTER 10 mg, comprimé gastro-résistant	rabeprazole alter 10 mg, comprime gastro-resistant
Q218712	CIS68832021	RABEPRAZOLE CRISTERS 20 mg, comprimé gastro-résistant	rabeprazole cristers 20 mg, comprime gastro-resistant
Q218712	CIS69649119	RABEPRAZOLE ARROW 20 mg, comprimé gastro-résistant	rabeprazole arrow 20 mg, comprime gastro-resistant
Q199615	CIS60485234	ZOVIRAX 500 mg, poudre pour solution injectable (IV)	zovirax 500 mg, poudre pour solution injectable (iv)
Q199615	CIS60618154	ZOVIRAX 800 mg/10 ml, suspension buvable en flacon	zovirax 800 mg/10 ml, suspension buvable en flacon
Q199615	CIS63761595	ZOVIRAX 3 %, pommade ophtalmique	zovirax 3 %, pommade ophtalmique
Q199615	CIS60111197	ACICLOVIR ARROW 800 mg, comprimé	aciclovir arrow 800 mg, comprime
Q199615	CIS60126377	ACICLOVIR MYLAN 5 %, crème	aciclovir mylan 5 %, creme
Q199615	CIS60311803	ACICLOVIR TEVA 5 %, crème	aciclovir teva 5 %, creme
Q199615	CIS60418673	ACICLOVIR EG 200 mg, comprimé	aciclovir eg 200 mg, comprime
Q199615	CIS60890745	ACICLOVIR MYLAN 500 mg, poudre pour solution injectable (IV)	aciclovir mylan 500 mg, poudre pour solution injectable (iv)
Q199615	CIS62485208	ACICLOVIR BIOGARAN 200 mg, comprimé	aciclovir biogaran 200 mg, comprime
Q199615	CIS62566877	ACICLOVIR SANDOZ 200 mg, comprimé	aciclovir sandoz 200 mg, comprime
Q199615	CIS62891447	ACICLOVIR EG 5 POUR CENT, crème	aciclovir eg 5 pour cent, creme
Q199615	CIS60964409	ACICLOVIR ZENTIVA 800 mg, comprimé	aciclovir zentiva 800 mg, comprime
Q199615	CIS65123812	ZOVIRAX 250 mg, poudre pour solution injectable (IV)	zovirax 250 mg, poudre pour solution injectable (iv)
Q199615	CIS68670676	ZOVIRAX 200 mg, comprimé	zovirax 200 mg, comprime
Q199615	CIS65069229	ZOVIRAX 5 %, crème	zovirax 5 %, creme
Q199615	CIS65391283	ZOVIRAX 800 mg, comprimé	zovirax 800 mg, comprime
Q199615	CIS67260521	ACICLOVIR MYLAN 800 mg, comprimé	aciclovir mylan 800 mg, comprime
Q199615	CIS67720806	ACICLOVIR MYLAN 200 mg, comprimé	aciclovir mylan 200 mg, comprime
Q199615	CIS69258501	ACICLOVIR MYLAN 250 mg, poudre pour solution injectable (IV)	aciclovir mylan 250 mg, poudre pour solution injectable (iv)
Q199615	CIS68933636	ACTIVIR 5 POUR CENT, crème	activir 5 pour cent, creme
Q199615	CIS68750987	ZOVIRAX 200 mg/5 ml, suspension buvable en flacon	zovirax 200 mg/5 ml, suspension buvable en flacon
Q199615	CIS64776881	ACICLOVIR EG 800 mg, comprimé	aciclovir eg 800 mg, comprime
Q199615	CIS67363642	ACICLOVIR ARROW 5 %, crème	aciclovir arrow 5 %, creme
Q199615	CIS68303445	ACICLOVIR BIOGARAN 5 %, crème	aciclovir biogaran 5 %, creme
Q199615	CIS68560639	ACICLOVIR TEVA 200 mg, comprimé	aciclovir teva 200 mg, comprime
Q199615	CIS68888917	ACICLOVIR ARROW 200 mg, comprimé	aciclovir arrow 200 mg, comprime
Q199615	CIS68623395	ACICLOVIR ARROW LAB 200 mg, comprimé	aciclovir arrow lab 200 mg, comprime
Q199615	CIS68887509	ACICLOVIR SANDOZ 5 %, crème	aciclovir sandoz 5 %, creme
Q199615	CIS69540696	ACICLOVIR MYLAN PHARMA 5 %, crème	aciclovir mylan pharma 5 %, creme
Q1338684	CIS61109911	DAFALGAN CODEINE, comprimé effervescent sécable	dafalgan codeine, comprime effervescent secable
Q1338684	CIS61644230	PRONTALGINE, comprimé	prontalgine, comprime
Q1338684	CIS60327615	ZALDIAR 37,5 mg/325 mg, comprimé pelliculé	zaldiar 37,5 mg/325 mg, comprime pellicule
Q1338684	CIS61137241	IXPRIM 37,5 mg/325 mg, comprimé pelliculé	ixprim 37,5 mg/325 mg, comprime pellicule
Q1338684	CIS62110311	KLIPAL CODEINE 300 mg/25 mg, comprimé	klipal codeine 300 mg/25 mg, comprime
Q1338684	CIS61730170	PARACETAMOL CODEINE SANDOZ 500 mg/30 mg, comprimé effervescent sécable	paracetamol codeine sandoz 500 mg/30 mg, comprime effervescent secable
Q1338684	CIS61784054	PARACETAMOL CODEINE ARROW 400 mg/20 mg, comprimé sécable	paracetamol codeine arrow 400 mg/20 mg, comprime secable
Q1338684	CIS61943097	PARACETAMOL CODEINE TEVA 500 mg/30 mg, comprimé effervescent sécable	paracetamol codeine teva 500 mg/30 mg, comprime effervescent secable
Q1338684	CIS62541023	PARACETAMOL CODEINE EG 500 mg/30 mg, comprimé effervescent sécable	paracetamol codeine eg 500 mg/30 mg, comprime effervescent secable
Q1338684	CIS62771825	PARACETAMOL CODEINE ARROW 500 mg/30 mg, comprimé effervescent sécable	paracetamol codeine arrow 500 mg/30 mg, comprime effervescent secable
Q1338684	CIS64168434	DOLIPRANE CODEINE 400 mg/20 mg, comprimé sécable	doliprane codeine 400 mg/20 mg, comprime secable
Q1338684	CIS60365078	IXPRIM 37,5 mg/325 mg, comprimé effervescent	ixprim 37,5 mg/325 mg, comprime effervescent
Q1338684	CIS63192215	ZALDIAR 37,5 mg/325 mg, comprimé effervescent	zaldiar 37,5 mg/325 mg, comprime effervescent
Q1338684	CIS60904643	CODOLIPRANE 500 mg/30 mg, comprimé	codoliprane 500 mg/30 mg, comprime
Q1338684	CIS61697158	FLUSTIMEX, poudre pour solution buvable en sachet	flustimex, poudre pour solution buvable en sachet
Q1338684	CIS61227411	TRAMADOL/PARACETAMOL MYLAN PHARMA 37,5 mg/325 mg, comprimé pelliculé	tramadol/paracetamol mylan pharma 37,5 mg/325 mg, comprime pellicule
Q1338684	CIS61305080	TRAMADOL/PARACETAMOL BIPHAR 37,5 mg/325 mg, comprimé pelliculé	tramadol/paracetamol biphar 37,5 mg/325 mg, comprime pellicule
Q1338684	CIS61331851	TRAMADOL/PARACETAMOL BIOGARAN 37,5 mg/325 mg, comprimé pelliculé	tramadol/paracetamol biogaran 37,5 mg/325 mg, comprime pellicule
Q1338684	CIS62351650	CODOLIPRANE 500 mg/30 mg, comprimé effervescent sécable	codoliprane 500 mg/30 mg, comprime effervescent secable
Q1338684	CIS60396465	TRAMADOL/PARACETAMOL BGR 37,5 mg/325 mg, comprimé pelliculé	tramadol/paracetamol bgr 37,5 mg/325 mg, comprime pellicule
Q1338684	CIS60009573	PARACETAMOL/CODEINE TEVA 500 mg/30 mg, comprimé pelliculé	paracetamol/codeine teva 500 mg/30 mg, comprime pellicule
Q1338684	CIS62049552	CODOLIPRANE 500 mg/30 mg, gélule	codoliprane 500 mg/30 mg, gelule
Q1338684	CIS65322262	ALGISEDAL, comprimé	algisedal, comprime
Q1338684	CIS65284993	MIGRALGINE, gélule	migralgine, gelule
Q1338684	CIS69329731	FERVEX ETAT GRIPPAL PARACETAMOL/VITAMINE C/PHENIRAMINE ADULTES, granulés pour solution buvable en sachet	fervex etat grippal paracetamol/vitamine c/pheniramine adultes, granules pour solution buvable en sachet
Q1338684	CIS64380679	COQUELUSEDAL PARACETAMOL 500 mg, suppositoire	coquelusedal paracetamol 500 mg, suppositoire
Q1338684	CIS66003374	DAFALGAN CODEINE, comprimé pelliculé	dafalgan codeine, comprime pellicule
