CIS	CISLabel	drugClass	drugClassLabel	CISLabel_processed	drugClassLabel_processed
CIS63936571	ASPEGIC ADULTES 1000 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspegic adultes 1000 mg, poudre pour solution buvable en sachet-dose	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS62018101	KARDEGIC 500 mg/5 ml, poudre pour solution injectable	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	kardegic 500 mg/5 ml, poudre pour solution injectable	antiagregants plaquettaires
CIS62018101	KARDEGIC 500 mg/5 ml, poudre pour solution injectable	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	kardegic 500 mg/5 ml, poudre pour solution injectable	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS61952274	DUOPLAVIN 75 mg/75 mg, comprimé pelliculé	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	duoplavin 75 mg/75 mg, comprime pellicule	antiagregants plaquettaires
CIS61952274	DUOPLAVIN 75 mg/75 mg, comprimé pelliculé	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	duoplavin 75 mg/75 mg, comprime pellicule	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS62406125	PRAVADUAL, comprimé	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	pravadual, comprime	antiagregants plaquettaires
CIS62406125	PRAVADUAL, comprimé	http://www.romedi.fr/romedi/DrugClass10092	inhibiteurs de l'HMG-CoA réductase (statines)	pravadual, comprime	inhibiteurs de l'hmg-coa reductase (statines)
CIS62406125	PRAVADUAL, comprimé	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	pravadual, comprime	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS61464022	ASPIRINE PROTECT 100 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspirine protect 100 mg, comprime gastro-resistant	antiagregants plaquettaires
CIS61464022	ASPIRINE PROTECT 100 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspirine protect 100 mg, comprime gastro-resistant	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS63346396	RESITUNE 100 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	resitune 100 mg, comprime gastro-resistant	antiagregants plaquettaires
CIS63346396	RESITUNE 100 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	resitune 100 mg, comprime gastro-resistant	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS66311831	ASPEGIC ENFANTS 250, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspegic enfants 250, poudre pour solution buvable en sachet-dose	antiagregants plaquettaires
CIS66769394	ASPEGIC NOURRISSONS 100 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspegic nourrissons 100 mg, poudre pour solution buvable en sachet-dose	antiagregants plaquettaires
CIS66311831	ASPEGIC ENFANTS 250, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspegic enfants 250, poudre pour solution buvable en sachet-dose	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS66769394	ASPEGIC NOURRISSONS 100 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspegic nourrissons 100 mg, poudre pour solution buvable en sachet-dose	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS64849094	NOVACETOL (ASPIRINE PARACETAMOL), comprimé	http://www.romedi.fr/romedi/DrugClass10007	analgésiques morphiniques agonistes	novacetol (aspirine paracetamol), comprime	analgesiques morphiniques agonistes
CIS64849094	NOVACETOL (ASPIRINE PARACETAMOL), comprimé	http://www.romedi.fr/romedi/DrugClass10008	analgésiques morphiniques de palier II	novacetol (aspirine paracetamol), comprime	analgesiques morphiniques de palier ii
CIS64849094	NOVACETOL (ASPIRINE PARACETAMOL), comprimé	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	novacetol (aspirine paracetamol), comprime	antiagregants plaquettaires
CIS64849094	NOVACETOL (ASPIRINE PARACETAMOL), comprimé	http://www.romedi.fr/romedi/DrugClass10039	antitussifs morphiniques vrais	novacetol (aspirine paracetamol), comprime	antitussifs morphiniques vrais
CIS64849094	NOVACETOL (ASPIRINE PARACETAMOL), comprimé	http://www.romedi.fr/romedi/DrugClass10115	médicaments sédatifs	novacetol (aspirine paracetamol), comprime	medicaments sedatifs
CIS64849094	NOVACETOL (ASPIRINE PARACETAMOL), comprimé	http://www.romedi.fr/romedi/DrugClass10118	morphiniques	novacetol (aspirine paracetamol), comprime	morphiniques
CIS64849094	NOVACETOL (ASPIRINE PARACETAMOL), comprimé	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	novacetol (aspirine paracetamol), comprime	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS67831952	ASPIRINE UPSA VITAMINEE C TAMPONNEE EFFERVESCENTE, comprimé effervescent	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspirine upsa vitaminee c tamponnee effervescente, comprime effervescent	antiagregants plaquettaires
CIS67831952	ASPIRINE UPSA VITAMINEE C TAMPONNEE EFFERVESCENTE, comprimé effervescent	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspirine upsa vitaminee c tamponnee effervescente, comprime effervescent	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS69781373	ASPIRINE pH 8 500 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspirine ph 8 500 mg, comprime gastro-resistant	antiagregants plaquettaires
CIS69781373	ASPIRINE pH 8 500 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspirine ph 8 500 mg, comprime gastro-resistant	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS68300762	ASPEGIC INJECTABLE 1 g, poudre et solution pour préparation injectable	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspegic injectable 1 g, poudre et solution pour preparation injectable	antiagregants plaquettaires
CIS68852682	ASPEGIC INJECTABLE 500 mg/5 ml, poudre et solution pour usage parentéral	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspegic injectable 500 mg/5 ml, poudre et solution pour usage parenteral	antiagregants plaquettaires
CIS68300762	ASPEGIC INJECTABLE 1 g, poudre et solution pour préparation injectable	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspegic injectable 1 g, poudre et solution pour preparation injectable	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS68852682	ASPEGIC INJECTABLE 500 mg/5 ml, poudre et solution pour usage parentéral	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspegic injectable 500 mg/5 ml, poudre et solution pour usage parenteral	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS68799614	ASPIRINE DU RHÔNE 500 mg, comprimé	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspirine du rhone 500 mg, comprime	antiagregants plaquettaires
CIS68799614	ASPIRINE DU RHÔNE 500 mg, comprimé	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspirine du rhone 500 mg, comprime	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS64872883	ASPIRINE PROTECT 300 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspirine protect 300 mg, comprime gastro-resistant	antiagregants plaquettaires
CIS64872883	ASPIRINE PROTECT 300 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspirine protect 300 mg, comprime gastro-resistant	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS64755969	KARDEGIC 75 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	kardegic 75 mg, poudre pour solution buvable en sachet-dose	antiagregants plaquettaires
CIS64755969	KARDEGIC 75 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	kardegic 75 mg, poudre pour solution buvable en sachet-dose	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS64866332	ASASANTINE L.P. 200 mg/25 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	asasantine l.p. 200 mg/25 mg, gelule a liberation prolongee	antiagregants plaquettaires
CIS64866332	ASASANTINE L.P. 200 mg/25 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	asasantine l.p. 200 mg/25 mg, gelule a liberation prolongee	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS65265765	ASPIRINE UPSA 500 mg, comprimé effervescent	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspirine upsa 500 mg, comprime effervescent	antiagregants plaquettaires
CIS65265765	ASPIRINE UPSA 500 mg, comprimé effervescent	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspirine upsa 500 mg, comprime effervescent	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS66565609	ASPIRINE RICHARD 500 mg, comprimé	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspirine richard 500 mg, comprime	antiagregants plaquettaires
CIS66565609	ASPIRINE RICHARD 500 mg, comprimé	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspirine richard 500 mg, comprime	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS68815221	KARDEGIC 300 mg, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	kardegic 300 mg, poudre pour solution buvable en sachet	antiagregants plaquettaires
CIS68815221	KARDEGIC 300 mg, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	kardegic 300 mg, poudre pour solution buvable en sachet	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS69029253	ASPIRINE DU RHONE 500 mg, comprimé à croquer	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspirine du rhone 500 mg, comprime a croquer	antiagregants plaquettaires
CIS69029253	ASPIRINE DU RHONE 500 mg, comprimé à croquer	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspirine du rhone 500 mg, comprime a croquer	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS68604982	RESITUNE 75 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	resitune 75 mg, comprime gastro-resistant	antiagregants plaquettaires
CIS68604982	RESITUNE 75 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	resitune 75 mg, comprime gastro-resistant	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS61752409	RAPAMUNE 1 mg/ml, solution buvable	http://www.romedi.fr/romedi/DrugClass10089	immunosuppresseurs	rapamune 1 mg/ml, solution buvable	immunosuppresseurs
CIS61752409	RAPAMUNE 1 mg/ml, solution buvable	http://www.romedi.fr/romedi/DrugClass10116	médicaments, bradykinine et angio-œdème	rapamune 1 mg/ml, solution buvable	medicaments, bradykinine et angio-oedeme
CIS61752409	RAPAMUNE 1 mg/ml, solution buvable	http://www.romedi.fr/romedi/DrugClass10142	substrats à risque du CYP3A4	rapamune 1 mg/ml, solution buvable	substrats a risque du cyp3a4
CIS64597615	RAPAMUNE 1 mg, comprimé enrobé	http://www.romedi.fr/romedi/DrugClass10089	immunosuppresseurs	rapamune 1 mg, comprime enrobe	immunosuppresseurs
CIS65164182	RAPAMUNE 2 mg, comprimé enrobé	http://www.romedi.fr/romedi/DrugClass10089	immunosuppresseurs	rapamune 2 mg, comprime enrobe	immunosuppresseurs
CIS64597615	RAPAMUNE 1 mg, comprimé enrobé	http://www.romedi.fr/romedi/DrugClass10116	médicaments, bradykinine et angio-œdème	rapamune 1 mg, comprime enrobe	medicaments, bradykinine et angio-oedeme
CIS65164182	RAPAMUNE 2 mg, comprimé enrobé	http://www.romedi.fr/romedi/DrugClass10116	médicaments, bradykinine et angio-œdème	rapamune 2 mg, comprime enrobe	medicaments, bradykinine et angio-oedeme
CIS64597615	RAPAMUNE 1 mg, comprimé enrobé	http://www.romedi.fr/romedi/DrugClass10142	substrats à risque du CYP3A4	rapamune 1 mg, comprime enrobe	substrats a risque du cyp3a4
CIS65164182	RAPAMUNE 2 mg, comprimé enrobé	http://www.romedi.fr/romedi/DrugClass10142	substrats à risque du CYP3A4	rapamune 2 mg, comprime enrobe	substrats a risque du cyp3a4
CIS69171174	RAPAMUNE 0,5 mg, comprimé enrobé	http://www.romedi.fr/romedi/DrugClass10089	immunosuppresseurs	rapamune 0,5 mg, comprime enrobe	immunosuppresseurs
CIS69171174	RAPAMUNE 0,5 mg, comprimé enrobé	http://www.romedi.fr/romedi/DrugClass10116	médicaments, bradykinine et angio-œdème	rapamune 0,5 mg, comprime enrobe	medicaments, bradykinine et angio-oedeme
CIS69171174	RAPAMUNE 0,5 mg, comprimé enrobé	http://www.romedi.fr/romedi/DrugClass10142	substrats à risque du CYP3A4	rapamune 0,5 mg, comprime enrobe	substrats a risque du cyp3a4
CIS61072758	ADRENALINE AGUETTANT 1 mg/ml, solution injectable en ampoule	http://www.romedi.fr/romedi/DrugClass10000	adrénaline (voie bucco-dentaire ou sous-cutanée)	adrenaline aguettant 1 mg/ml, solution injectable en ampoule	adrenaline (voie bucco-dentaire ou sous-cutanee)
CIS61072758	ADRENALINE AGUETTANT 1 mg/ml, solution injectable en ampoule	http://www.romedi.fr/romedi/DrugClass10147	sympathomimétiques alpha et bêta (voie IM et IV)	adrenaline aguettant 1 mg/ml, solution injectable en ampoule	sympathomimetiques alpha et beta (voie im et iv)
CIS60484221	SEPTANEST 40 mg/ml ADRENALINEE AU 1/100 000, solution injectable à usage dentaire	http://www.romedi.fr/romedi/DrugClass10000	adrénaline (voie bucco-dentaire ou sous-cutanée)	septanest 40 mg/ml adrenalinee au 1/100 000, solution injectable a usage dentaire	adrenaline (voie bucco-dentaire ou sous-cutanee)
CIS60484221	SEPTANEST 40 mg/ml ADRENALINEE AU 1/100 000, solution injectable à usage dentaire	http://www.romedi.fr/romedi/DrugClass10147	sympathomimétiques alpha et bêta (voie IM et IV)	septanest 40 mg/ml adrenalinee au 1/100 000, solution injectable a usage dentaire	sympathomimetiques alpha et beta (voie im et iv)
CIS61459178	XYLOCAINE 20 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	http://www.romedi.fr/romedi/DrugClass10000	adrénaline (voie bucco-dentaire ou sous-cutanée)	xylocaine 20 mg/ml adrenaline 0,005 mg/ml, solution injectable	adrenaline (voie bucco-dentaire ou sous-cutanee)
CIS61459178	XYLOCAINE 20 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	http://www.romedi.fr/romedi/DrugClass10019	antiarythmiques	xylocaine 20 mg/ml adrenaline 0,005 mg/ml, solution injectable	antiarythmiques
CIS61459178	XYLOCAINE 20 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	http://www.romedi.fr/romedi/DrugClass10147	sympathomimétiques alpha et bêta (voie IM et IV)	xylocaine 20 mg/ml adrenaline 0,005 mg/ml, solution injectable	sympathomimetiques alpha et beta (voie im et iv)
CIS60197246	ADRENALINE RENAUDIN 1 mg/ml, solution injectable	http://www.romedi.fr/romedi/DrugClass10000	adrénaline (voie bucco-dentaire ou sous-cutanée)	adrenaline renaudin 1 mg/ml, solution injectable	adrenaline (voie bucco-dentaire ou sous-cutanee)
CIS60197246	ADRENALINE RENAUDIN 1 mg/ml, solution injectable	http://www.romedi.fr/romedi/DrugClass10147	sympathomimétiques alpha et bêta (voie IM et IV)	adrenaline renaudin 1 mg/ml, solution injectable	sympathomimetiques alpha et beta (voie im et iv)
CIS62031508	ANAPEN 150 microgrammes/0,3 ml, solution injectable en seringue préremplie	http://www.romedi.fr/romedi/DrugClass10000	adrénaline (voie bucco-dentaire ou sous-cutanée)	anapen 150 microgrammes/0,3 ml, solution injectable en seringue preremplie	adrenaline (voie bucco-dentaire ou sous-cutanee)
CIS62031508	ANAPEN 150 microgrammes/0,3 ml, solution injectable en seringue préremplie	http://www.romedi.fr/romedi/DrugClass10147	sympathomimétiques alpha et bêta (voie IM et IV)	anapen 150 microgrammes/0,3 ml, solution injectable en seringue preremplie	sympathomimetiques alpha et beta (voie im et iv)
CIS62538162	ANAPEN 300 microgrammes/0,3 ml, solution injectable en seringue préremplie	http://www.romedi.fr/romedi/DrugClass10000	adrénaline (voie bucco-dentaire ou sous-cutanée)	anapen 300 microgrammes/0,3 ml, solution injectable en seringue preremplie	adrenaline (voie bucco-dentaire ou sous-cutanee)
CIS62538162	ANAPEN 300 microgrammes/0,3 ml, solution injectable en seringue préremplie	http://www.romedi.fr/romedi/DrugClass10147	sympathomimétiques alpha et bêta (voie IM et IV)	anapen 300 microgrammes/0,3 ml, solution injectable en seringue preremplie	sympathomimetiques alpha et beta (voie im et iv)
CIS60533348	LIDOCAÏNE 20 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	http://www.romedi.fr/romedi/DrugClass10000	adrénaline (voie bucco-dentaire ou sous-cutanée)	lidocaine 20 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable	adrenaline (voie bucco-dentaire ou sous-cutanee)
CIS60533348	LIDOCAÏNE 20 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	http://www.romedi.fr/romedi/DrugClass10019	antiarythmiques	lidocaine 20 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable	antiarythmiques
CIS60533348	LIDOCAÏNE 20 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	http://www.romedi.fr/romedi/DrugClass10147	sympathomimétiques alpha et bêta (voie IM et IV)	lidocaine 20 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable	sympathomimetiques alpha et beta (voie im et iv)
CIS61846627	EPIPEN 0,15 mg/0,3 ml, solution injectable en stylo pré-rempli	http://www.romedi.fr/romedi/DrugClass10000	adrénaline (voie bucco-dentaire ou sous-cutanée)	epipen 0,15 mg/0,3 ml, solution injectable en stylo pre-rempli	adrenaline (voie bucco-dentaire ou sous-cutanee)
CIS61846627	EPIPEN 0,15 mg/0,3 ml, solution injectable en stylo pré-rempli	http://www.romedi.fr/romedi/DrugClass10147	sympathomimétiques alpha et bêta (voie IM et IV)	epipen 0,15 mg/0,3 ml, solution injectable en stylo pre-rempli	sympathomimetiques alpha et beta (voie im et iv)
CIS62227058	LIDOCAÏNE 10 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	http://www.romedi.fr/romedi/DrugClass10000	adrénaline (voie bucco-dentaire ou sous-cutanée)	lidocaine 10 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable	adrenaline (voie bucco-dentaire ou sous-cutanee)
CIS62227058	LIDOCAÏNE 10 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	http://www.romedi.fr/romedi/DrugClass10019	antiarythmiques	lidocaine 10 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable	antiarythmiques
CIS62227058	LIDOCAÏNE 10 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	http://www.romedi.fr/romedi/DrugClass10147	sympathomimétiques alpha et bêta (voie IM et IV)	lidocaine 10 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable	sympathomimetiques alpha et beta (voie im et iv)
CIS68649778	XYLOCAINE 10 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	http://www.romedi.fr/romedi/DrugClass10000	adrénaline (voie bucco-dentaire ou sous-cutanée)	xylocaine 10 mg/ml adrenaline 0,005 mg/ml, solution injectable	adrenaline (voie bucco-dentaire ou sous-cutanee)
CIS68649778	XYLOCAINE 10 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	http://www.romedi.fr/romedi/DrugClass10019	antiarythmiques	xylocaine 10 mg/ml adrenaline 0,005 mg/ml, solution injectable	antiarythmiques
CIS68649778	XYLOCAINE 10 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	http://www.romedi.fr/romedi/DrugClass10147	sympathomimétiques alpha et bêta (voie IM et IV)	xylocaine 10 mg/ml adrenaline 0,005 mg/ml, solution injectable	sympathomimetiques alpha et beta (voie im et iv)
CIS65551161	LIDOCAINE 20 mg/mL ADRENALINE 0,0125 mg/mL AGUETTANT, solution injectable	http://www.romedi.fr/romedi/DrugClass10000	adrénaline (voie bucco-dentaire ou sous-cutanée)	lidocaine 20 mg/ml adrenaline 0,0125 mg/ml aguettant, solution injectable	adrenaline (voie bucco-dentaire ou sous-cutanee)
CIS65551161	LIDOCAINE 20 mg/mL ADRENALINE 0,0125 mg/mL AGUETTANT, solution injectable	http://www.romedi.fr/romedi/DrugClass10019	antiarythmiques	lidocaine 20 mg/ml adrenaline 0,0125 mg/ml aguettant, solution injectable	antiarythmiques
CIS65551161	LIDOCAINE 20 mg/mL ADRENALINE 0,0125 mg/mL AGUETTANT, solution injectable	http://www.romedi.fr/romedi/DrugClass10147	sympathomimétiques alpha et bêta (voie IM et IV)	lidocaine 20 mg/ml adrenaline 0,0125 mg/ml aguettant, solution injectable	sympathomimetiques alpha et beta (voie im et iv)
CIS69490204	LIDOCAINE 10 mg/mL ADRENALINE 0,0100 mg/mL AGUETTANT, solution injectable	http://www.romedi.fr/romedi/DrugClass10000	adrénaline (voie bucco-dentaire ou sous-cutanée)	lidocaine 10 mg/ml adrenaline 0,0100 mg/ml aguettant, solution injectable	adrenaline (voie bucco-dentaire ou sous-cutanee)
CIS69490204	LIDOCAINE 10 mg/mL ADRENALINE 0,0100 mg/mL AGUETTANT, solution injectable	http://www.romedi.fr/romedi/DrugClass10019	antiarythmiques	lidocaine 10 mg/ml adrenaline 0,0100 mg/ml aguettant, solution injectable	antiarythmiques
CIS69490204	LIDOCAINE 10 mg/mL ADRENALINE 0,0100 mg/mL AGUETTANT, solution injectable	http://www.romedi.fr/romedi/DrugClass10147	sympathomimétiques alpha et bêta (voie IM et IV)	lidocaine 10 mg/ml adrenaline 0,0100 mg/ml aguettant, solution injectable	sympathomimetiques alpha et beta (voie im et iv)
CIS69150358	ADRENALINE AGUETTANT 1 mg/ml SANS SULFITE, solution injectable	http://www.romedi.fr/romedi/DrugClass10000	adrénaline (voie bucco-dentaire ou sous-cutanée)	adrenaline aguettant 1 mg/ml sans sulfite, solution injectable	adrenaline (voie bucco-dentaire ou sous-cutanee)
