diseaseWikidata	prefLabel	wikidata	CUI	synonyms	weight	prefLabel_processed	synonyms_processed
Q432814	cécité	Q10874	C0155020;C0271215;C0456909	cécité et vision faible;cécité légale;cécité sai;aveugle;non-voyance;cecite;cécité	0.5	cecite	cecite et vision faible;cecite legale;cecite sai;aveugle;non-voyance;cecite;cecite
Q1077505	douleur abdominale	Q183425	C0000737	douleur abd.;douleur abdo;douleur abdo.;douleur abdominale;douleur abdominale sai;douleur intestinale;douleur de l'abdomen	0.071	douleur abdominale	douleur abd.;douleur abdo;douleur abdo.;douleur abdominale;douleur abdominale sai;douleur intestinale;douleur de l'abdomen
Q980926	myocardite	Q186235	C0027059	myocardite;myocardite, non précisée;myocardite sai	0.5	myocardite	myocardite;myocardite, non precisee;myocardite sai
Q837054	nausée	Q186889	C0027497	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausée;nauséeux;nausees	0.059	nausee	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausee;nauseeux;nausees
Q848662	vertige	Q10686316	n/a	n/a	0.25	vertige	n/a
Q1077505	hématome	Q468787	n/a	n/a	1.0	hematome	n/a
Q1077505	myalgie	Q474959	C0231528	gêne musculaire;douleurs musculaires généralisées;sensibilite musculaire;douleurs dans les muscles;douleur musculaire;douleurs musculaires;myalgie;mal musculaire;endolorissement musculaire;douleur musculaire/filuosite;courbatures;douleur dans un muscle	0.25	myalgie	gene musculaire;douleurs musculaires generalisees;sensibilite musculaire;douleurs dans les muscles;douleur musculaire;douleurs musculaires;myalgie;mal musculaire;endolorissement musculaire;douleur musculaire/filuosite;courbatures;douleur dans un muscle
Q219223	diarrhée	Q40878	C0013369	dysenterie sai;dysenterie;diarrhée infectieuse;maladie diarrhéique infectieuse	0.033	diarrhee	dysenterie sai;dysenterie;diarrhee infectieuse;maladie diarrheique infectieuse
Q272002	diarrhée	Q40878	C0013369	dysenterie sai;dysenterie;diarrhée infectieuse;maladie diarrhéique infectieuse	0.033	diarrhee	dysenterie sai;dysenterie;diarrhee infectieuse;maladie diarrheique infectieuse
Q1077505	nausée	Q186889	C0027497	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausée;nauséeux;nausees	0.059	nausee	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausee;nauseeux;nausees
Q1077505	bradycardie	Q217111	C0428977	fréquence cardiaque basse;bradycardie;bradycardie sai;bradyarythmie;bradyarythmies;ralentissement marque du pouls;fréquence cardiaque diminuée;brady-arythmies	1.0	bradycardie	frequence cardiaque basse;bradycardie;bradycardie sai;bradyarythmie;bradyarythmies;ralentissement marque du pouls;frequence cardiaque diminuee;brady-arythmies
Q980926	faiblesse musculaire	Q270421	C0151786	faiblesse musculaire;faiblesse musculaire sai;faiblesse de muscle;faiblesse du muscle	0.167	faiblesse musculaire	faiblesse musculaire;faiblesse musculaire sai;faiblesse de muscle;faiblesse du muscle
Q340548	diarrhée	Q40878	C0013369	dysenterie sai;dysenterie;diarrhée infectieuse;maladie diarrhéique infectieuse	0.033	diarrhee	dysenterie sai;dysenterie;diarrhee infectieuse;maladie diarrheique infectieuse
Q408089	diarrhée	Q40878	C0013369	dysenterie sai;dysenterie;diarrhée infectieuse;maladie diarrhéique infectieuse	0.033	diarrhee	dysenterie sai;dysenterie;diarrhee infectieuse;maladie diarrheique infectieuse
Q39222	paralysie	Q107231	n/a	n/a	0.167	paralysie	n/a
Q39222	peur	Q44619	n/a	n/a	1.0	peur	n/a
Q460591	surdité	Q12133	C0011053;C0018772;C0339789;C1384666;C3887873	surdite tous degres np;perte auditive totale;surdité;surdité totale;pas d'audition;surdité sai;surdite;surdité bilatérale totale;perte d'audition totale;surdité non précisée;déficience auditive totale;perte partielle d'audition;surdite congenitale;surdité héréditaire;surdité congénitale;diminution de l'ouie;alteration de l'ouie;malentendant;perte d'audition;pertes auditives;hypoacousie;dur d'oreille;déficit auditif;audition diminuée;baisse de l'acuité auditive;perte auditive;perte auditive non précisée;audition réduite;reduction de l'ouie;déficience auditive	0.333	surdite	surdite tous degres np;perte auditive totale;surdite;surdite totale;pas d'audition;surdite sai;surdite;surdite bilaterale totale;perte d'audition totale;surdite non precisee;deficience auditive totale;perte partielle d'audition;surdite congenitale;surdite hereditaire;surdite congenitale;diminution de l'ouie;alteration de l'ouie;malentendant;perte d'audition;pertes auditives;hypoacousie;dur d'oreille;deficit auditif;audition diminuee;baisse de l'acuite auditive;perte auditive;perte auditive non precisee;audition reduite;reduction de l'ouie;deficience auditive
Q280027	inflammation	Q101991	C0021368	inflammations;réaction inflammatoire;inflammation sai;inflammation	0.125	inflammation	inflammations;reaction inflammatoire;inflammation sai;inflammation
Q18554479	inflammation	Q101991	C0021368	inflammations;réaction inflammatoire;inflammation sai;inflammation	0.125	inflammation	inflammations;reaction inflammatoire;inflammation sai;inflammation
Q462833	hallucination	Q130741	C0018524;C0235153	hallucination;hallucinations;hallucination sai;hallucinant;hallucinations sensorielles	0.25	hallucination	hallucination;hallucinations;hallucination sai;hallucinant;hallucinations sensorielles
Q1077505	conjonctivite	Q167844	C0009763;C1864156	conjonctivite sai;conjonctivite, non précisée;conjonctivite	0.167	conjonctivite	conjonctivite sai;conjonctivite, non precisee;conjonctivite
Q221668	fièvre	Q38933	C0015967;C0085594	température élevée;fébrile;pyrexie sai;elevation de la temperature;hyperthermie;fièvre;pyrexie;élévation de la température corporelle;fiévreux;température augmentée;fievre;frissons de fièvre;frissons et fièvre	0.083	fievre	temperature elevee;febrile;pyrexie sai;elevation de la temperature;hyperthermie;fievre;pyrexie;elevation de la temperature corporelle;fievreux;temperature augmentee;fievre;frissons de fievre;frissons et fievre
Q243257	fièvre	Q38933	C0015967;C0085594	température élevée;fébrile;pyrexie sai;elevation de la temperature;hyperthermie;fièvre;pyrexie;élévation de la température corporelle;fiévreux;température augmentée;fievre;frissons de fièvre;frissons et fièvre	0.083	fievre	temperature elevee;febrile;pyrexie sai;elevation de la temperature;hyperthermie;fievre;pyrexie;elevation de la temperature corporelle;fievreux;temperature augmentee;fievre;frissons de fievre;frissons et fievre
Q551085	inflammation	Q101991	C0021368	inflammations;réaction inflammatoire;inflammation sai;inflammation	0.125	inflammation	inflammations;reaction inflammatoire;inflammation sai;inflammation
Q137597	douleur abdominale	Q183425	C0000737	douleur abd.;douleur abdo;douleur abdo.;douleur abdominale;douleur abdominale sai;douleur intestinale;douleur de l'abdomen	0.071	douleur abdominale	douleur abd.;douleur abdo;douleur abdo.;douleur abdominale;douleur abdominale sai;douleur intestinale;douleur de l'abdomen
Q219223	douleur abdominale	Q183425	C0000737	douleur abd.;douleur abdo;douleur abdo.;douleur abdominale;douleur abdominale sai;douleur intestinale;douleur de l'abdomen	0.071	douleur abdominale	douleur abd.;douleur abdo;douleur abdo.;douleur abdominale;douleur abdominale sai;douleur intestinale;douleur de l'abdomen
Q221668	douleur abdominale	Q183425	C0000737	douleur abd.;douleur abdo;douleur abdo.;douleur abdominale;douleur abdominale sai;douleur intestinale;douleur de l'abdomen	0.071	douleur abdominale	douleur abd.;douleur abdo;douleur abdo.;douleur abdominale;douleur abdominale sai;douleur intestinale;douleur de l'abdomen
Q272002	douleur abdominale	Q183425	C0000737	douleur abd.;douleur abdo;douleur abdo.;douleur abdominale;douleur abdominale sai;douleur intestinale;douleur de l'abdomen	0.071	douleur abdominale	douleur abd.;douleur abdo;douleur abdo.;douleur abdominale;douleur abdominale sai;douleur intestinale;douleur de l'abdomen
Q460591	vomissement	Q127076	C0042963	vomissement sai;vomi;vomissement	0.045	vomissement	vomissement sai;vomi;vomissement
Q460591	nausée	Q186889	C0027497	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausée;nauséeux;nausees	0.059	nausee	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausee;nauseeux;nausees
Q558404	nausée	Q186889	C0027497	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausée;nauséeux;nausees	0.059	nausee	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausee;nauseeux;nausees
Q219223	flatulence	Q160184	C0016204	gaz;gaz abdominaux;météorisme;flatulences;flatulence;ballonnement;flatuosité	0.333	flatulence	gaz;gaz abdominaux;meteorisme;flatulences;flatulence;ballonnement;flatuosite
Q9303627	vomissement	Q127076	C0042963	vomissement sai;vomi;vomissement	0.045	vomissement	vomissement sai;vomi;vomissement
Q460591	paralysie	Q107231	n/a	n/a	0.167	paralysie	n/a
Q605576	tuméfaction	Q109186	C0038999	tuméfaction;tuméfaction sai;gonflement (sf k07)	1.0	tumefaction	tumefaction;tumefaction sai;gonflement (sf k07)
Q1077505	hypotension artérielle	Q275419	C0020649	diminution tension arterielle;hypotension artérielle;baisse de la tension arterielle;hypotension, non précisée;pression artérielle sanguine diminuée;pa basse;baisse de la pression artérielle;hypotension;pression artérielle basse;pression artérielle diminuée;pression artérielle sai diminuée;pa abaissée;chute de pression artérielle;chute de pa;hypotension artérielle sai;chute de la pression artérielle;chute de tension arterielle	0.333	hypotension arterielle	diminution tension arterielle;hypotension arterielle;baisse de la tension arterielle;hypotension, non precisee;pression arterielle sanguine diminuee;pa basse;baisse de la pression arterielle;hypotension;pression arterielle basse;pression arterielle diminuee;pression arterielle sai diminuee;pa abaissee;chute de pression arterielle;chute de pa;hypotension arterielle sai;chute de la pression arterielle;chute de tension arterielle
Q1077505	hématurie	Q373597	C0018965	hematurie;hématurie;urines sanglantes;sang dons l' urine	0.333	hematurie	hematurie;hematurie;urines sanglantes;sang dons l' urine
Q558404	ictère	Q133244	C0022346	jaunisse;ictère sai;ictère;ictere	0.25	ictere	jaunisse;ictere sai;ictere;ictere
Q1077505	cyanose	Q192120	C0010520	cyanose;cyanose sai;cyanosé	1.0	cyanose	cyanose;cyanose sai;cyanose
Q1077505	tachycardie	Q209583	C0039231;C4020868	fréquence cardiaque augmentée;accélération cardiaque;rapidité du pouls;pouls accéléré;tachycardie, non précisée;tachycardie;pouls augmenté;fréquence cardiaque élevée;battements cardiaques accélérés;acceleration du pouls;pouls rapide;tachycardie sai	0.2	tachycardie	frequence cardiaque augmentee;acceleration cardiaque;rapidite du pouls;pouls accelere;tachycardie, non precisee;tachycardie;pouls augmente;frequence cardiaque elevee;battements cardiaques acceleres;acceleration du pouls;pouls rapide;tachycardie sai
Q39222	hallucination	Q130741	C0018524;C0235153	hallucination;hallucinations;hallucination sai;hallucinant;hallucinations sensorielles	0.25	hallucination	hallucination;hallucinations;hallucination sai;hallucinant;hallucinations sensorielles
Q39222	vomissement	Q127076	C0042963	vomissement sai;vomi;vomissement	0.045	vomissement	vomissement sai;vomi;vomissement
Q219223	vomissement	Q127076	C0042963	vomissement sai;vomi;vomissement	0.045	vomissement	vomissement sai;vomi;vomissement
Q272002	vomissement	Q127076	C0042963	vomissement sai;vomi;vomissement	0.045	vomissement	vomissement sai;vomi;vomissement
Q9303627	céphalée	Q86	C0018681	céphalée;cephalalgie;gene dans la tete;mal de tete;mal de tête;céphalée sai;céphalodynie;céphalées;douleur crânienne;maux de tête;céphalalgie;douleur dans la tête;cephalees (sf n02 n89 r09);céphalgie;cephalees	0.059	cephalee	cephalee;cephalalgie;gene dans la tete;mal de tete;mal de tete;cephalee sai;cephalodynie;cephalees;douleur cranienne;maux de tete;cephalalgie;douleur dans la tete;cephalees (sf n02 n89 r09);cephalgie;cephalees
Q408089	dyspnée	Q188008	C0013404	dyspnee;essouf;dyspnée;respiration difficile;difficultés à respirer;essoufflement;essoufflé(e);dyspnée sai;difficulte respiratoire;souffle court/dyspnee;difficulté respiratoire;dyspnées;souffle court	0.167	dyspnee	dyspnee;essouf;dyspnee;respiration difficile;difficultes a respirer;essoufflement;essouffle(e);dyspnee sai;difficulte respiratoire;souffle court/dyspnee;difficulte respiratoire;dyspnees;souffle court
Q460591	dyspnée	Q188008	C0013404	dyspnee;essouf;dyspnée;respiration difficile;difficultés à respirer;essoufflement;essoufflé(e);dyspnée sai;difficulte respiratoire;souffle court/dyspnee;difficulté respiratoire;dyspnées;souffle court	0.167	dyspnee	dyspnee;essouf;dyspnee;respiration difficile;difficultes a respirer;essoufflement;essouffle(e);dyspnee sai;difficulte respiratoire;souffle court/dyspnee;difficulte respiratoire;dyspnees;souffle court
Q192579	trouble du sommeil	Q177190	C0154564	troubles spécifiques du sommeil d'origine non organique;troubles du sommeil spécifiés d'origine non organique	1.0	trouble du sommeil	troubles specifiques du sommeil d'origine non organique;troubles du sommeil specifies d'origine non organique
Q9148587	abcès	Q164655	C0000833	abces;abcès sai;abcès	0.25	abces	abces;abces sai;abces
