CIS	CISLabel	IN	INlabel	drugUri	CISLabel_processed	INlabel_processed
CIS61072758	ADRENALINE AGUETTANT 1 mg/ml, solution injectable en ampoule	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	adrenaline aguettant 1 mg/ml, solution injectable en ampoule	adrenaline
CIS60484221	SEPTANEST 40 mg/ml ADRENALINEE AU 1/100 000, solution injectable à usage dentaire	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	septanest 40 mg/ml adrenalinee au 1/100 000, solution injectable a usage dentaire	adrenaline
CIS61459178	XYLOCAINE 20 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	xylocaine 20 mg/ml adrenaline 0,005 mg/ml, solution injectable	adrenaline
CIS60197246	ADRENALINE RENAUDIN 1 mg/ml, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	adrenaline renaudin 1 mg/ml, solution injectable	adrenaline
CIS62031508	ANAPEN 150 microgrammes/0,3 ml, solution injectable en seringue préremplie	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	anapen 150 microgrammes/0,3 ml, solution injectable en seringue preremplie	adrenaline
CIS62538162	ANAPEN 300 microgrammes/0,3 ml, solution injectable en seringue préremplie	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	anapen 300 microgrammes/0,3 ml, solution injectable en seringue preremplie	adrenaline
CIS60533348	LIDOCAÏNE 20 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	lidocaine 20 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable	adrenaline
CIS61846627	EPIPEN 0,15 mg/0,3 ml, solution injectable en stylo pré-rempli	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	epipen 0,15 mg/0,3 ml, solution injectable en stylo pre-rempli	adrenaline
CIS62227058	LIDOCAÏNE 10 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	lidocaine 10 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable	adrenaline
CIS68649778	XYLOCAINE 10 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	xylocaine 10 mg/ml adrenaline 0,005 mg/ml, solution injectable	adrenaline
CIS65551161	LIDOCAINE 20 mg/mL ADRENALINE 0,0125 mg/mL AGUETTANT, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	lidocaine 20 mg/ml adrenaline 0,0125 mg/ml aguettant, solution injectable	adrenaline
CIS69490204	LIDOCAINE 10 mg/mL ADRENALINE 0,0100 mg/mL AGUETTANT, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	lidocaine 10 mg/ml adrenaline 0,0100 mg/ml aguettant, solution injectable	adrenaline
CIS69150358	ADRENALINE AGUETTANT 1 mg/ml SANS SULFITE, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	adrenaline aguettant 1 mg/ml sans sulfite, solution injectable	adrenaline
CIS69325747	ADRENALINE RENAUDIN 0,25 mg/ml, solution injectable en ampoule	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	adrenaline renaudin 0,25 mg/ml, solution injectable en ampoule	adrenaline
CIS69553494	ADRENALINE RENAUDIN 1 mg/ml, solution injectable en ampoule	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	adrenaline renaudin 1 mg/ml, solution injectable en ampoule	adrenaline
CIS69556177	ADRENALINE RENAUDIN 0,50 mg/ml, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621	adrenaline renaudin 0,50 mg/ml, solution injectable	adrenaline
CIS60420681	PERIKABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	perikabiven, emulsion pour perfusion	chlorure de calcium
CIS60447372	OLICLINOMEL N 6-900 E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	oliclinomel n 6-900 e, emulsion pour perfusion	chlorure de calcium
CIS61117445	CLINIMIX N9 G15 E, solution pour perfusion en poche bicompartiment	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	clinimix n9 g15 e, solution pour perfusion en poche bicompartiment	chlorure de calcium
CIS61684869	PERIOLIMEL N4E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	periolimel n4e, emulsion pour perfusion	chlorure de calcium
CIS62201138	OLIMEL N7E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	olimel n7e, emulsion pour perfusion	chlorure de calcium
CIS62427265	SMOFKABIVEN E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	smofkabiven e, emulsion pour perfusion	chlorure de calcium
CIS63337059	KABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	kabiven, emulsion pour perfusion	chlorure de calcium
CIS62217480	REANUTRIFLEX OMEGA G 144/N 8/E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	reanutriflex omega g 144/n 8/e, emulsion pour perfusion	chlorure de calcium
CIS67596034	OLICLINOMEL N 4-550 E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	oliclinomel n 4-550 e, emulsion pour perfusion	chlorure de calcium
CIS68868590	OLICLINOMEL N7-1000 E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	oliclinomel n7-1000 e, emulsion pour perfusion	chlorure de calcium
CIS65461618	NUTRINEAL PD4 A 1,1 POUR CENT D'ACIDES AMINES, solution pour dialyse péritonéale	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	nutrineal pd4 a 1,1 pour cent d'acides amines, solution pour dialyse peritoneale	chlorure de calcium
CIS66067708	AMINOMIX 800 E, solution pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	aminomix 800 e, solution pour perfusion	chlorure de calcium
CIS66286011	AMINOMIX 500 E, solution pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	aminomix 500 e, solution pour perfusion	chlorure de calcium
CIS65418143	MEDNUTRIFLEX LIPIDE G 120/N 5,4/E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	mednutriflex lipide g 120/n 5,4/e, emulsion pour perfusion	chlorure de calcium
CIS66032721	OLIMEL N9E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	olimel n9e, emulsion pour perfusion	chlorure de calcium
CIS68074594	PERINUTRIFLEX LIPIDE G 64/N 4,6/E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	perinutriflex lipide g 64/n 4,6/e, emulsion pour perfusion	chlorure de calcium
CIS68861083	REANUTRIFLEX LIPIDE G 144/N 8/E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	reanutriflex lipide g 144/n 8/e, emulsion pour perfusion	chlorure de calcium
CIS69040082	MEDNUTRIFLEX OMEGA G 120/N 5,4/E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	mednutriflex omega g 120/n 5,4/e, emulsion pour perfusion	chlorure de calcium
CIS64875819	NUMETAH G19%E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	numetah g19%e, emulsion pour perfusion	chlorure de calcium
CIS69278991	NUMETAH G16%E, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	numetah g16%e, emulsion pour perfusion	chlorure de calcium
CIS66490117	NUMETAH G13% E PREMATURES, émulsion pour perfusion	http://www.romedi.fr/romedi/INigi4b8qavvq9n3nt5957cvun1o548ghg	CHLORURE DE CALCIUM	Q208451	numetah g13% e prematures, emulsion pour perfusion	chlorure de calcium
CIS63028269	ISOBAR, comprimé sécable	http://www.romedi.fr/romedi/INok82eiare4tpf5nn7d1lcoaqci4m0l2v	TRIAMTÉRÈNE	Q221520	isobar, comprime secable	triamterene
CIS63870751	PRESTOLE, gélule	http://www.romedi.fr/romedi/INok82eiare4tpf5nn7d1lcoaqci4m0l2v	TRIAMTÉRÈNE	Q221520	prestole, gelule	triamterene
CIS61834055	BURINEX 2 mg/4 ml IV, solution injectable en ampoule	http://www.romedi.fr/romedi/INdlp6uc93eh83hsg0plchoe56r99oue21	BUMÉTANIDE	Q275926	burinex 2 mg/4 ml iv, solution injectable en ampoule	bumetanide
CIS67563415	BURINEX 5 mg, comprimé	http://www.romedi.fr/romedi/INdlp6uc93eh83hsg0plchoe56r99oue21	BUMÉTANIDE	Q275926	burinex 5 mg, comprime	bumetanide
CIS68232635	BURINEX 1 mg, comprimé	http://www.romedi.fr/romedi/INdlp6uc93eh83hsg0plchoe56r99oue21	BUMÉTANIDE	Q275926	burinex 1 mg, comprime	bumetanide
CIS63975542	THALIDOMIDE CELGENE 50 mg, gélule	http://www.romedi.fr/romedi/INe8lbi1vdq11cb01s00iof52idjgl8g26	THALIDOMIDE	Q203174	thalidomide celgene 50 mg, gelule	thalidomide
CIS61707595	SANDOSTATINE 500 microgrammes/1 mL, solution injectable/pour perfusion	http://www.romedi.fr/romedi/INmpp0ss1k09cavvnmv2ainmmlq757jute	OCTRÉOTIDE	Q419935	sandostatine 500 microgrammes/1 ml, solution injectable/pour perfusion	octreotide
CIS61881699	SANDOSTATINE L.P. 30 mg, poudre et solvant pour suspension injectable	http://www.romedi.fr/romedi/INmpp0ss1k09cavvnmv2ainmmlq757jute	OCTRÉOTIDE	Q419935	sandostatine l.p. 30 mg, poudre et solvant pour suspension injectable	octreotide
CIS62287824	OCTREOTIDE HOSPIRA 50 microgrammes/1 ml, solution injectable	http://www.romedi.fr/romedi/INmpp0ss1k09cavvnmv2ainmmlq757jute	OCTRÉOTIDE	Q419935	octreotide hospira 50 microgrammes/1 ml, solution injectable	octreotide
CIS63127541	OCTREOTIDE HOSPIRA 500 microgrammes/1 ml, solution injectable	http://www.romedi.fr/romedi/INmpp0ss1k09cavvnmv2ainmmlq757jute	OCTRÉOTIDE	Q419935	octreotide hospira 500 microgrammes/1 ml, solution injectable	octreotide
CIS66004031	SANDOSTATINE 100 microgrammes/1 mL, solution injectable/pour perfusion	http://www.romedi.fr/romedi/INmpp0ss1k09cavvnmv2ainmmlq757jute	OCTRÉOTIDE	Q419935	sandostatine 100 microgrammes/1 ml, solution injectable/pour perfusion	octreotide
CIS68949551	SANDOSTATINE 50 microgrammes/1 mL, solution injectable/pour perfusion	http://www.romedi.fr/romedi/INmpp0ss1k09cavvnmv2ainmmlq757jute	OCTRÉOTIDE	Q419935	sandostatine 50 microgrammes/1 ml, solution injectable/pour perfusion	octreotide
CIS64494476	SANDOSTATINE L.P. 10 mg, poudre et solvant pour suspension injectable	http://www.romedi.fr/romedi/INmpp0ss1k09cavvnmv2ainmmlq757jute	OCTRÉOTIDE	Q419935	sandostatine l.p. 10 mg, poudre et solvant pour suspension injectable	octreotide
CIS69869122	SANDOSTATINE L.P. 20 mg, poudre et solvant pour suspension injectable	http://www.romedi.fr/romedi/INmpp0ss1k09cavvnmv2ainmmlq757jute	OCTRÉOTIDE	Q419935	sandostatine l.p. 20 mg, poudre et solvant pour suspension injectable	octreotide
CIS65490897	SIROCTID 0,05 mg/ml, solution injectable ou solution à diluer pour perfusion en seringue préremplie	http://www.romedi.fr/romedi/INmpp0ss1k09cavvnmv2ainmmlq757jute	OCTRÉOTIDE	Q419935	siroctid 0,05 mg/ml, solution injectable ou solution a diluer pour perfusion en seringue preremplie	octreotide
CIS69161760	OCTREOTIDE HOSPIRA 100 microgrammes/1 ml, solution injectable	http://www.romedi.fr/romedi/INmpp0ss1k09cavvnmv2ainmmlq757jute	OCTRÉOTIDE	Q419935	octreotide hospira 100 microgrammes/1 ml, solution injectable	octreotide
CIS66306542	OCTREOTIDE ARROW 500 microgrammes/1 ml, solution injectable	http://www.romedi.fr/romedi/INmpp0ss1k09cavvnmv2ainmmlq757jute	OCTRÉOTIDE	Q419935	octreotide arrow 500 microgrammes/1 ml, solution injectable	octreotide
CIS65245613	OCTREOTIDE ARROW 100 microgrammes/1 ml, solution injectable	http://www.romedi.fr/romedi/INmpp0ss1k09cavvnmv2ainmmlq757jute	OCTRÉOTIDE	Q419935	octreotide arrow 100 microgrammes/1 ml, solution injectable	octreotide
CIS64369088	OCTREOTIDE TEVA LP 30 mg, poudre et solvant pour suspension injectable à libération prolongée	http://www.romedi.fr/romedi/INmpp0ss1k09cavvnmv2ainmmlq757jute	OCTRÉOTIDE	Q419935	octreotide teva lp 30 mg, poudre et solvant pour suspension injectable a liberation prolongee	octreotide
CIS62909137	PARIET 20 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	pariet 20 mg, comprime gastro-resistant	rabeprazole
CIS61724146	PARIET 20 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	pariet 20 mg, comprime gastro-resistant	rabeprazole
CIS60443801	RABEPRAZOLE ALMUS 20 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole almus 20 mg, comprime gastro-resistant	rabeprazole
CIS60494895	RABEPRAZOLE ALTER 20 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole alter 20 mg, comprime gastro-resistant	rabeprazole
CIS61212982	RABEPRAZOLE RANBAXY 10 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole ranbaxy 10 mg, comprime gastro-resistant	rabeprazole
CIS61305034	RABEPRAZOLE RANBAXY 20 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole ranbaxy 20 mg, comprime gastro-resistant	rabeprazole
CIS61438974	RABEPRAZOLE ZENTIVA 10 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole zentiva 10 mg, comprime gastro-resistant	rabeprazole
CIS61805185	RABEPRAZOLE TEVA 10 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole teva 10 mg, comprime gastro-resistant	rabeprazole
CIS62134839	RABEPRAZOLE BIOGARAN 10 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole biogaran 10 mg, comprime gastro-resistant	rabeprazole
CIS62135510	RABEPRAZOLE MYLAN PHARMA 10 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole mylan pharma 10 mg, comprime gastro-resistant	rabeprazole
CIS62880365	RABEPRAZOLE EVOLUGEN 20 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole evolugen 20 mg, comprime gastro-resistant	rabeprazole
CIS62984887	RABEPRAZOLE EG LABO 20 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole eg labo 20 mg, comprime gastro-resistant	rabeprazole
CIS63212397	RABEPRAZOLE CRISTERS 10 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole cristers 10 mg, comprime gastro-resistant	rabeprazole
CIS63449026	RABEPRAZOLE ZYDUS 10 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole zydus 10 mg, comprime gastro-resistant	rabeprazole
CIS63965740	RABEPRAZOLE ARROW GENERIQUES 10 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole arrow generiques 10 mg, comprime gastro-resistant	rabeprazole
CIS63835526	PARIET 10 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	pariet 10 mg, comprime gastro-resistant	rabeprazole
CIS64080062	RABEPRAZOLE EG LABO 10 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INu9k0ks63veqpjki1snf2ucr11s332b1j	RABÉPRAZOLE	Q3515	rabeprazole eg labo 10 mg, comprime gastro-resistant	rabeprazole
